type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,970.6,,965.2,,967.9,,967.9,,965.2,,966.5,,966.5,,967.9,,967.9,,966.5,
nuclear,核三#1,951.0,946.1,,943.8,,943.8,,943.8,,943.8,,940.4,,941.5,,943.8,,942.6,,943.8,
nuclear,核三#2,951.0,938.1,,935.8,,937.0,,937.0,,938.1,,934.7,,934.7,,935.8,,935.8,,937.0,
nuclear,小計,3872.0(7.677%),2854.8(9.477%),,2844.8(9.531%),,2848.7(9.669%),,2848.7(9.697%),,2847.1(9.778%),,2841.6(9.781%),,2842.7(9.851%),,2847.5(9.961%),,2846.3(9.997%),,2847.3(10.012%),
coal,林口#1,800.0,750.4,,758.5,,758.6,,755.3,,754.6,,759.1,,761.2,,757.8,,758.7,,753.6,
coal,林口#2,800.0,754.2,,761.7,,760.2,,757.3,,758.7,,761.9,,763.6,,759.6,,763.8,,757.4,
coal,林口#3,800.0,753.3,,760.7,,759.0,,757.1,,758.5,,760.7,,763.9,,759.6,,764.2,,754.6,
coal,台中#1,550.0,490.0,,493.9,,493.3,,460.2,,436.4,,409.2,,395.8,,375.4,,382.5,,382.3,
coal,台中#2,550.0,517.2,,519.8,,512.1,,491.3,,465.1,,440.8,,412.5,,393.7,,387.6,,381.9,
coal,台中#3,550.0,495.2,,494.3,,492.3,,460.5,,432.4,,408.4,,384.8,,370.7,,382.5,,372.2,
coal,台中#4,550.0,495.9,,498.4,,499.2,,478.4,,451.8,,435.5,,416.2,,403.4,,381.1,,361.1,
coal,台中#5,550.0,522.5,,522.0,,516.0,,488.9,,452.8,,432.2,,399.6,,388.1,,383.9,,385.9,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,519.5,,498.7,,510.4,,472.9,,470.5,,425.3,,385.3,,365.8,,364.1,,375.2,
coal,台中#8,550.0,515.6,,516.5,,514.8,,495.0,,459.7,,428.1,,402.7,,391.3,,382.7,,381.7,
coal,台中#9,550.0,499.2,,495.9,,496.0,,500.6,,496.4,,493.7,,493.9,,493.7,,496.6,,494.6,
coal,台中#10,550.0,485.6,,487.7,,486.8,,458.6,,429.1,,400.9,,378.2,,379.4,,380.2,,377.3,
