type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00
nuclear,核二#1,985.0,823.1,燃料限制,824.4,燃料限制,825.8,燃料限制,823.1,燃料限制,823.1,燃料限制,821.8,燃料限制,823.1,燃料限制,823.1,燃料限制,825.8,燃料限制,825.8,燃料限制,824.4,燃料限制,827.1,燃料限制,823.1,燃料限制,824.4,燃料限制,825.8,燃料限制,824.4,燃料限制,827.1,燃料限制,824.4,燃料限制,825.8,燃料限制,825.8,燃料限制,825.8,燃料限制,827.1,燃料限制,824.4,燃料限制,828.5,燃料限制,825.8,燃料限制
nuclear,核二#2,985.0,973.2,,974.6,,974.6,,973.2,,971.9,,971.9,,971.9,,970.6,,971.9,,974.6,,973.2,,977.3,,973.2,,974.6,,971.9,,971.9,,974.6,,971.9,,971.9,,973.2,,970.6,,970.6,,970.6,,973.2,,970.6,
nuclear,核三#1,951.0,942.6,,946.1,,946.1,,946.1,,947.2,,946.1,,944.9,,943.8,,944.9,,946.1,,946.1,,946.1,,944.9,,944.9,,940.4,,947.2,,944.9,,943.8,,946.1,,947.2,,943.8,,944.9,,942.6,,944.9,,944.9,
nuclear,核三#2,951.0,939.2,,941.5,,940.4,,941.5,,940.4,,940.4,,939.2,,940.4,,939.2,,940.4,,941.5,,941.5,,940.4,,940.4,,940.4,,941.5,,940.4,,938.1,,940.4,,941.5,,940.4,,940.4,,940.4,,940.4,,938.1,
nuclear,小計,3872.0(7.793%),3678.1(13.719%),,3686.6(13.765%),,3686.9(13.921%),,3683.9(14.114%),,3682.6(14.099%),,3680.2(14.097%),,3679.1(14.249%),,3677.9(14.292%),,3681.8(14.376%),,3686.9(14.486%),,3685.2(14.546%),,3692.0(14.587%),,3681.6(14.650%),,3684.3(14.725%),,3678.5(14.669%),,3685.0(14.799%),,3687.0(14.937%),,3678.2(15.029%),,3684.2(14.944%),,3687.7(15.027%),,3680.6(15.035%),,3683.0(15.082%),,3678.0(15.103%),,3687.0(15.090%),,3679.4(15.078%),
coal,林口#1,800.0,748.8,,754.7,,754.3,,746.5,,757.5,,756.8,,754.2,,750.0,,754.0,,749.0,,753.2,,754.3,,750.3,,754.1,,754.5,,755.2,,752.9,,752.5,,755.6,,758.5,,757.9,,752.6,,756.0,,754.0,,756.0,
coal,林口#2,800.0,752.9,,755.8,,757.0,,750.2,,754.3,,753.2,,754.3,,751.9,,753.9,,751.8,,754.9,,757.3,,755.4,,758.8,,754.3,,749.5,,749.2,,751.3,,756.2,,759.6,,761.2,,756.3,,761.8,,761.4,,762.1,
coal,林口#3,800.0,754.5,,758.4,,757.4,,751.4,,760.6,,758.1,,758.4,,753.6,,758.3,,752.7,,755.7,,758.8,,757.6,,760.1,,757.8,,756.4,,755.8,,751.8,,759.0,,759.2,,759.7,,757.7,,763.0,,760.7,,764.2,
coal,台中#1,550.0,369.3,,370.2,,378.1,,365.7,,376.6,,374.3,,371.1,,367.9,,373.5,,368.6,,371.1,,379.0,,375.0,,378.3,,379.0,,379.0,,378.9,,377.7,,383.3,,389.2,,389.9,,378.0,,365.3,,366.9,,372.4,
coal,台中#2,550.0,376.9,,375.4,,377.8,,376.9,,379.8,,379.4,,380.1,,372.3,,384.2,,372.9,,374.4,,380.7,,379.9,,371.5,,380.0,,373.8,,376.1,,372.7,,382.3,,386.5,,383.7,,363.9,,357.6,,339.9,,328.4,
coal,台中#3,550.0,292.2,,315.1,,345.5,,361.9,,385.7,,386.2,,386.1,,382.3,,385.6,,379.2,,383.2,,385.7,,384.7,,381.7,,384.7,,377.8,,386.3,,387.7,,383.1,,392.9,,387.3,,386.5,,389.7,,384.0,,388.9,
coal,台中#4,550.0,376.0,,367.9,,376.1,,369.3,,374.0,,371.9,,372.0,,368.8,,370.5,,372.7,,378.3,,375.3,,372.0,,363.6,,373.5,,365.8,,371.9,,376.4,,377.4,,376.1,,374.5,,376.6,,379.9,,380.6,,374.3,
coal,台中#5,550.0,334.8,,333.2,,333.9,,344.1,,375.8,,386.6,,385.1,,384.1,,384.5,,384.4,,383.6,,384.1,,384.1,,382.8,,382.0,,382.0,,380.7,,345.8,,337.3,,337.8,,349.4,,386.3,,379.1,,375.1,,380.7,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,327.8,,330.2,,327.9,,341.7,,372.7,,385.0,,382.7,,381.1,,381.1,,380.9,,378.7,,382.6,,383.3,,381.7,,379.1,,380.8,,378.6,,380.8,,380.9,,380.3,,379.4,,363.2,,336.6,,331.0,,330.2,
coal,台中#8,550.0,341.7,,338.5,,339.3,,355.6,,382.5,,391.8,,395.7,,395.0,,391.9,,391.1,,392.7,,391.2,,390.3,,391.2,,388.6,,391.8,,389.5,,391.1,,391.1,,391.9,,389.5,,374.9,,353.2,,340.0,,338.6,
coal,台中#9,550.0,332.7,,332.9,,333.5,,351.6,,375.5,,374.8,,374.8,,374.1,,374.3,,374.2,,374.1,,375.5,,374.0,,375.5,,373.9,,374.1,,374.7,,373.3,,374.7,,374.9,,374.1,,364.2,,345.1,,327.1,,326.7,
coal,台中#10,550.0,329.2,,329.2,,330.0,,352.3,,379.3,,379.4,,378.4,,379.3,,379.4,,378.8,,378.0,,380.0,,377.8,,380.5,,378.5,,378.9,,377.6,,377.8,,378.9,,379.0,,378.5,,363.2,,335.4,,330.0,,331.1,
coal,興達#1(註12),500.0,476.5,,479.6,,468.9,,451.8,,447.4,,450.5,,456.2,,461.3,,454.3,,452.4,,458.8,,453.7,,451.2,,452.4,,454.3,,450.5,,450.5,,451.2,,447.4,,446.1,,445.5,,446.1,,451.8,,448.6,,445.5,運轉限制
coal,興達#2(註12),500.0,470.2,,469.5,,473.3,,470.8,,470.8,,468.9,,472.7,,475.9,,472.1,,470.8,,468.3,,471.4,,474.0,,467.0,,472.7,,472.1,,472.1,,466.4,,467.0,,465.1,,472.7,,471.4,,475.2,,470.2,,470.8,
