type,name,capacity,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50,generation-13:00,note-13:00,generation-13:10,note-13:10,generation-13:20,note-13:20,generation-13:30,note-13:30,generation-13:40,note-13:40,generation-13:50,note-13:50,generation-14:00,note-14:00,generation-14:10,note-14:10,generation-14:20,note-14:20,generation-14:30,note-14:30,generation-14:40,note-14:40,generation-14:50,note-14:50,generation-15:00,note-15:00,generation-15:10,note-15:10,generation-15:20,note-15:20,generation-15:30,note-15:30,generation-15:40,note-15:40,generation-15:50,note-15:50,generation-16:00,note-16:00,generation-16:10,note-16:10,generation-16:20,note-16:20,generation-16:30,note-16:30,generation-16:40,note-16:40,generation-16:50,note-16:50,generation-17:00,note-17:00,generation-17:10,note-17:10,generation-17:20,note-17:20,generation-17:30,note-17:30,generation-17:40,note-17:40,generation-17:50,note-17:50,generation-18:00,note-18:00,generation-18:10,note-18:10,generation-18:20,note-18:20,generation-18:30,note-18:30,generation-18:40,note-18:40,generation-18:50,note-18:50,generation-19:00,note-19:00,generation-19:10,note-19:10,generation-19:20,note-19:20,generation-19:30,note-19:30,generation-19:40,note-19:40,generation-19:50,note-19:50,generation-20:00,note-20:00,generation-20:10,note-20:10
nuclear,核二#1,985.0,789.6,燃料限制,790.9,燃料限制,790.9,燃料限制,790.9,燃料限制,790.9,燃料限制,789.6,燃料限制,790.9,燃料限制,789.6,燃料限制,793.6,燃料限制,789.6,燃料限制,792.3,燃料限制,790.9,燃料限制,792.3,燃料限制,793.6,燃料限制,795.0,燃料限制,790.9,燃料限制,793.6,燃料限制,790.9,燃料限制,792.3,燃料限制,793.6,燃料限制,790.9,燃料限制,792.3,燃料限制,789.6,燃料限制,786.9,燃料限制,789.6,燃料限制,786.9,燃料限制,789.6,燃料限制,790.9,燃料限制,789.6,燃料限制,789.6,燃料限制,790.9,燃料限制,790.9,燃料限制,792.3,燃料限制,792.3,燃料限制,789.6,燃料限制,792.3,燃料限制,789.6,燃料限制,793.6,燃料限制,792.3,燃料限制,789.6,燃料限制,789.6,燃料限制,795.0,燃料限制,792.3,燃料限制,793.6,燃料限制,789.6,燃料限制,790.9,燃料限制,790.9,燃料限制,792.3,燃料限制,793.6,燃料限制,792.3,燃料限制,790.9,燃料限制,789.6,燃料限制,793.6,燃料限制,793.6,燃料限制,790.9,燃料限制,793.6,燃料限制,796.3,燃料限制,789.6,燃料限制,792.3,燃料限制,788.3,燃料限制,793.6,燃料限制,792.3,燃料限制,788.3,燃料限制,793.6,燃料限制,790.9,燃料限制,792.3,燃料限制,790.9,燃料限制,790.9,燃料限制,790.9,燃料限制,790.9,燃料限制,788.3,燃料限制,788.3,燃料限制,785.6,燃料限制,788.3,燃料限制,788.3,燃料限制,788.3,燃料限制,789.6,燃料限制,788.3,燃料限制,790.9,燃料限制,788.3,燃料限制,786.9,燃料限制,788.3,燃料限制,785.6,燃料限制,789.6,燃料限制,792.3,燃料限制,788.3,燃料限制,789.6,燃料限制,790.9,燃料限制,790.9,燃料限制,788.3,燃料限制,789.6,燃料限制,790.9,燃料限制,789.6,燃料限制,788.3,燃料限制,789.6,燃料限制,790.9,燃料限制,792.3,燃料限制,795.0,燃料限制,789.6,燃料限制,790.9,燃料限制,790.9,燃料限制,790.9,燃料限制,790.9,燃料限制,790.9,燃料限制,792.3,燃料限制,793.6,燃料限制,788.3,燃料限制,789.6,燃料限制,792.3,燃料限制,790.9,燃料限制,789.6,燃料限制,788.3,燃料限制,792.3,燃料限制,789.6,燃料限制,790.9,燃料限制,789.6,燃料限制,790.9,燃料限制,792.3,燃料限制,789.6,燃料限制,789.6,燃料限制
nuclear,核二#2,985.0,973.2,,974.6,,973.2,,974.6,,974.6,,973.2,,974.6,,973.2,,975.9,,973.2,,975.9,,975.9,,974.6,,973.2,,975.9,,974.6,,977.3,,975.9,,975.9,,977.3,,973.2,,974.6,,971.9,,876.7,,872.7,,868.7,,870.0,,868.7,,867.3,,867.3,,757.4,,753.4,,750.7,,746.7,,742.7,,745.4,,742.7,,742.7,,738.7,,706.5,,666.3,,606.0,,596.6,,584.5,,568.4,,504.1,,501.4,,501.4,,498.7,,471.9,,451.8,,449.1,,494.7,,493.4,,475.9,,514.8,,509.5,,478.6,,489.3,,489.3,,492.0,,494.7,,467.9,,465.2,,457.2,,463.9,,465.2,,446.5,,467.9,,497.4,,496.0,,496.0,,561.7,,564.4,,567.1,,568.4,,571.1,,571.1,,584.5,,646.2,,650.2,,652.9,,656.9,,660.9,,663.6,,664.9,,670.3,,671.6,,673.0,,675.7,,675.7,,679.7,,681.0,,683.7,,686.4,,689.1,,693.1,,693.1,,710.5,,713.2,,718.6,,719.9,,726.6,,738.7,,761.4,,765.5,運轉限制,762.8,運轉限制,765.5,運轉限制,769.5,運轉限制,774.9,運轉限制,773.5,運轉限制,773.5,運轉限制,774.9,運轉限制,776.2,運轉限制,777.5,運轉限制,780.2,運轉限制,780.2,運轉限制,785.6,運轉限制,784.2,運轉限制,788.3,運轉限制
nuclear,核三#1,951.0,946.1,,947.2,,946.1,,944.9,,946.1,,947.2,,947.2,,927.9,,948.3,,943.8,,949.5,,946.1,,947.2,,947.2,,946.1,,944.9,,946.1,,944.9,,947.2,,946.1,,946.1,,948.3,,946.1,,946.1,,946.1,,946.1,,947.2,,944.9,,947.2,,947.2,,947.2,,947.2,,944.9,,947.2,,946.1,,942.6,,948.3,,943.8,,946.1,,946.1,,947.2,,948.3,,947.2,,949.5,,946.1,,949.5,,947.2,,951.8,,948.3,,950.6,,949.5,,948.3,,950.6,,949.5,,950.6,,950.6,,952.9,,950.6,,951.8,,949.5,,951.8,,951.8,,951.8,,952.9,,951.8,,952.9,,952.9,,952.9,,952.9,,951.8,,952.9,,954.0,,951.8,,952.9,,949.5,,948.3,,948.3,,947.2,,948.3,,948.3,,947.2,,948.3,,947.2,,948.3,,948.3,,947.2,,949.5,,948.3,,948.3,,948.3,,947.2,,949.5,,948.3,,948.3,,947.2,,949.5,,950.6,,948.3,,949.5,,948.3,,950.6,,948.3,,947.2,,951.8,,950.6,,947.2,,949.5,,948.3,,947.2,,951.8,,951.8,,950.6,,951.8,,951.8,,949.5,,951.8,,950.6,,954.0,,950.6,,951.8,
nuclear,核三#2,951.0,939.2,,940.4,,939.2,,938.1,,938.1,,938.1,,939.2,,937.0,,940.4,,935.8,,941.5,,939.2,,922.2,,940.4,,939.2,,938.1,,939.2,,940.4,,939.2,,939.2,,940.4,,939.2,,939.2,,938.1,,940.4,,938.1,,940.4,,937.0,,939.2,,939.2,,938.1,,939.2,,938.1,,939.2,,938.1,,937.0,,940.4,,937.0,,939.2,,939.2,,940.4,,940.4,,940.4,,940.4,,938.1,,940.4,,938.1,,942.6,,939.2,,942.6,,941.5,,941.5,,942.6,,942.6,,943.8,,943.8,,944.9,,944.9,,944.9,,941.5,,943.8,,943.8,,942.6,,944.9,,943.8,,943.8,,944.9,,946.1,,943.8,,944.9,,944.9,,944.9,,943.8,,946.1,,942.6,,942.6,,941.5,,940.4,,942.6,,940.4,,940.4,,940.4,,940.4,,941.5,,941.5,,939.2,,942.6,,941.5,,941.5,,939.2,,939.2,,941.5,,942.6,,941.5,,939.2,,940.4,,940.4,,940.4,,941.5,,940.4,,942.6,,940.4,,939.2,,942.6,,941.5,,940.4,,941.5,,938.1,,940.4,,942.6,,942.6,,940.4,,941.5,,943.8,,942.6,,942.6,,942.6,,946.1,,942.6,,943.8,
nuclear,小計,3872.0(7.745%),3648.1(13.553%),,3653.1(13.580%),,3649.4(13.630%),,3648.5(13.663%),,3649.7(13.802%),,3648.1(13.921%),,3651.9(13.937%),,3627.7(13.930%),,3658.2(14.151%),,3642.4(14.177%),,3659.2(14.394%),,3652.1(14.333%),,3636.3(14.466%),,3654.4(14.397%),,3656.2(14.521%),,3648.5(14.741%),,3656.2(14.555%),,3652.1(14.843%),,3654.6(14.714%),,3656.2(14.801%),,3650.6(14.769%),,3654.4(14.795%),,3646.8(14.909%),,3547.8(14.449%),,3548.8(14.446%),,3539.8(14.420%),,3547.2(14.697%),,3541.5(14.491%),,3543.3(14.591%),,3543.3(14.557%),,3433.6(14.197%),,3430.7(14.232%),,3426.0(14.162%),,3425.4(14.313%),,3416.5(14.188%),,3417.3(14.096%),,3421.0(14.132%),,3417.1(14.124%),,3416.3(14.127%),,3381.4(13.853%),,3343.5(13.775%),,3289.7(13.295%),,3276.5(13.224%),,3268.0(13.247%),,3242.2(13.025%),,3184.9(12.709%),,3177.6(12.456%),,3188.1(12.271%),,3179.8(11.991%),,3157.4(11.891%),,3133.7(11.673%),,3128.5(11.586%),,3181.5(11.770%),,3179.1(11.542%),,3161.2(11.537%),,3202.8(11.512%),,3203.6(11.637%),,3163.7(11.409%),,3178.3(11.360%),,3168.6(11.210%),,3181.2(11.175%),,3182.6(11.230%),,3150.6(11.022%),,3156.6(10.955%),,3143.7(10.927%),,3152.9(10.791%),,3153.9(10.735%),,3136.4(10.600%),,3155.5(10.547%),,3185.0(10.720%),,3182.1(10.704%),,3183.2(10.878%),,3242.9(11.082%),,3251.7(11.074%),,3247.5(11.047%),,3247.6(11.058%),,3250.5(10.906%),,3247.0(10.824%),,3266.3(10.866%),,3323.2(10.974%),,3324.7(11.027%),,3329.9(10.980%),,3330.1(10.890%),,3340.3(10.981%),,3345.7(11.011%),,3339.6(11.033%),,3352.0(11.060%),,3352.3(11.015%),,3353.7(11.021%),,3351.5(11.096%),,3351.7(11.087%),,3361.6(11.146%),,3361.5(11.076%),,3361.8(11.122%),,3362.4(11.068%),,3369.9(11.099%),,3376.4(11.173%),,3376.8(11.214%),,3391.1(11.268%),,3392.8(11.231%),,3402.7(11.385%),,3399.5(11.364%),,3403.9(11.411%),,3424.0(11.430%),,3445.8(11.556%),,3446.7(11.475%),,3442.1(11.475%),,3441.5(11.463%),,3449.4(11.414%),,3460.2(11.571%),,3457.5(11.473%),,3452.8(11.378%),,3460.5(11.368%),,3461.4(11.416%),,3460.5(11.305%),,3464.2(11.376%),,3464.3(11.373%),,3478.0(11.440%),,3467.0(11.442%),,3473.5(11.491%),
coal,林口#1,800.0,755.7,,751.0,,758.2,,755.9,,758.5,,759.2,,759.2,,759.1,,755.2,,759.1,,751.4,,758.9,,756.5,,762.1,,760.4,,754.1,,755.9,,751.9,,760.1,,748.1,,761.1,,757.0,,748.5,,760.9,,755.9,,762.4,,751.6,,761.5,,758.1,,758.4,,759.6,,752.4,,754.6,,759.2,,759.3,,760.3,,757.9,,752.6,,756.9,,761.6,,755.7,,755.1,,757.2,,755.8,,762.7,,758.8,,760.2,,756.8,,757.2,,759.8,,756.7,,755.5,,759.0,,759.9,,759.7,,757.8,,751.2,,751.3,,754.4,,754.7,,755.9,,745.6,,759.7,,757.6,,758.4,,763.2,,759.3,,758.7,,755.2,,757.0,,753.9,,759.1,,757.6,,752.2,,758.4,,752.9,,755.5,,760.1,,759.7,,757.1,,757.2,,759.5,,756.3,,753.2,,754.8,,752.6,,761.1,,757.6,,756.3,,756.7,,760.3,,759.9,,752.2,,749.1,,747.4,,751.9,,755.4,,755.5,,756.5,,759.1,,749.5,,757.1,,753.4,,750.5,,756.5,,753.2,,757.6,,754.0,,755.8,,751.2,,755.1,,757.7,,749.6,,751.4,,751.8,,755.9,,756.3,,752.9,,758.5,,757.6,
coal,林口#2,800.0,756.2,,752.9,,758.6,,756.1,,759.7,,760.2,,758.7,,760.2,,757.9,,759.8,,753.0,,758.9,,758.0,,763.3,,761.9,,755.2,,759.0,,753.9,,760.1,,750.5,,762.3,,757.9,,751.6,,762.8,,758.4,,763.4,,751.7,,763.0,,759.0,,758.3,,761.0,,756.9,,760.3,,761.1,,760.8,,761.8,,758.6,,754.5,,759.7,,762.9,,758.2,,756.8,,758.9,,758.0,,763.1,,758.3,,761.7,,759.3,,759.0,,763.5,,759.7,,758.4,,761.4,,763.1,,763.6,,759.2,,751.5,,754.7,,759.1,,760.9,,762.4,,752.9,,760.8,,759.2,,759.2,,763.4,,761.5,,760.3,,758.2,,758.0,,757.4,,759.5,,762.1,,753.7,,759.4,,755.3,,757.6,,761.8,,762.2,,759.1,,759.4,,759.8,,758.9,,754.2,,757.6,,756.5,,764.2,,759.1,,759.7,,760.4,,762.5,,763.2,,762.0,,759.6,,759.5,,760.5,,760.8,,760.0,,761.0,,761.8,,754.0,,760.3,,760.1,,760.1,,761.9,,760.3,,762.8,,759.8,,762.6,,756.0,,762.2,,764.7,,758.1,,761.0,,760.4,,762.7,,760.9,,757.2,,762.4,,759.6,
coal,林口#3,800.0,758.3,,755.8,,759.7,,759.2,,759.6,,760.9,,759.9,,761.5,,759.3,,761.2,,753.6,,760.6,,759.6,,764.5,,763.0,,755.6,,758.9,,754.0,,761.9,,751.0,,763.9,,757.8,,749.7,,760.6,,758.4,,763.8,,751.1,,759.4,,758.3,,757.5,,760.4,,757.3,,760.3,,758.5,,760.3,,764.4,,761.1,,756.0,,761.4,,764.8,,757.9,,758.8,,759.6,,759.1,,764.8,,759.5,,760.0,,757.6,,755.7,,761.0,,757.1,,754.8,,758.7,,758.1,,757.1,,754.5,,749.9,,749.1,,754.0,,754.8,,762.1,,751.8,,763.0,,759.2,,759.6,,765.1,,762.5,,761.2,,757.0,,755.1,,754.0,,758.8,,758.6,,752.9,,760.2,,758.4,,759.2,,759.8,,761.2,,758.3,,760.1,,760.4,,758.2,,754.0,,757.5,,754.6,,764.8,,759.5,,758.5,,761.6,,762.8,,764.2,,760.7,,759.3,,759.2,,759.8,,759.3,,758.8,,759.3,,763.8,,750.1,,755.6,,754.8,,752.0,,756.2,,750.3,,754.0,,753.4,,752.6,,749.6,,752.4,,752.4,,750.6,,754.1,,752.2,,758.5,,758.1,,754.6,,760.2,,759.3,
coal,台中#1,550.0,324.8,,325.5,,334.9,,328.0,,327.9,,327.1,,325.5,,327.9,,323.1,,330.2,,326.3,,326.3,,328.7,,331.1,,327.3,,329.3,,327.8,,330.0,,329.5,,319.1,,332.7,,328.4,,323.8,,332.6,,321.0,,330.3,,326.2,,327.8,,326.4,,324.0,,328.6,,330.1,,330.4,,329.4,,323.8,,324.4,,320.7,,332.3,,329.3,,330.3,,327.0,,335.4,,325.2,,333.0,,332.0,,328.0,,328.7,,329.3,,325.9,,336.2,,328.6,,325.5,,327.1,,328.7,,335.9,,327.9,,327.1,,324.6,,331.0,,331.6,,331.8,,323.9,,330.9,,328.7,,328.7,,333.4,,329.5,,323.8,,322.2,,323.8,,330.8,,330.2,,331.8,,325.4,,329.4,,325.3,,335.3,,342.4,,378.8,,379.6,,380.8,,375.4,,375.2,,378.4,,376.1,,376.0,,376.1,,372.7,,382.1,,370.3,,381.4,,382.3,,375.8,,373.7,,366.0,,374.1,,382.7,,379.0,,377.5,,383.6,,371.8,,377.3,,376.3,,377.9,,381.4,,375.5,,378.3,,378.9,,378.9,,376.5,,379.7,,381.4,,378.2,,374.3,,377.3,,377.2,,378.1,,369.6,,390.8,,373.9,
coal,台中#2,550.0,322.2,,328.4,,329.2,,330.8,,327.7,,332.3,,331.6,,334.8,,321.4,,324.5,,329.2,,325.4,,327.7,,335.6,,330.7,,324.3,,333.0,,320.5,,336.1,,320.2,,331.6,,321.7,,321.7,,334.5,,319.8,,333.1,,325.7,,324.9,,331.5,,331.5,,326.1,,322.8,,325.2,,335.1,,324.8,,330.7,,321.5,,328.8,,328.0,,331.9,,328.0,,332.1,,327.3,,337.5,,329.1,,322.0,,323.5,,332.0,,322.3,,328.1,,319.4,,325.7,,341.4,,335.2,,334.6,,320.2,,331.2,,330.9,,336.7,,323.4,,329.8,,336.6,,332.7,,321.1,,331.4,,325.3,,332.3,,332.9,,321.0,,324.8,,327.3,,339.1,,325.2,,316.4,,330.0,,321.7,,331.3,,338.5,,366.1,,375.8,,378.5,,378.0,,369.3,,374.0,,376.6,,376.5,,375.8,,370.7,,374.1,,376.3,,370.2,,377.6,,374.3,,385.9,,374.8,,378.9,,374.2,,375.5,,380.4,,378.8,,371.8,,374.9,,385.0,,379.5,,380.4,,375.8,,377.5,,374.3,,379.6,,371.1,,377.3,,385.8,,383.7,,377.2,,379.5,,384.8,,382.8,,384.9,,385.9,,386.7,
