type,name,capacity,time-00:00,generation-00:00,note-00:00,time-00:10,generation-00:10,note-00:10,time-00:20,generation-00:20,note-00:20,time-00:30,generation-00:30,note-00:30,time-00:40,generation-00:40,note-00:40,time-00:50,generation-00:50,note-00:50,time-01:00,generation-01:00,note-01:00,time-01:10,generation-01:10,note-01:10,time-01:20,generation-01:20,note-01:20,time-01:30,generation-01:30,note-01:30,time-01:40,generation-01:40,note-01:40,time-01:50,generation-01:50,note-01:50,time-02:00,generation-02:00,note-02:00,generation-12:10,note-12:10
nuclear,核二#1,985.0,00:00,849.9,燃料限制,00:10,848.6,燃料限制,00:20,849.9,燃料限制,00:30,848.6,燃料限制,00:40,848.6,燃料限制,00:50,851.3,燃料限制,01:00,847.2,燃料限制,01:10,849.9,燃料限制,01:20,848.6,燃料限制,01:30,847.2,燃料限制,01:40,845.9,燃料限制,01:50,847.2,燃料限制,02:00,849.9,燃料限制,845.9,燃料限制
nuclear,核二#2,985.0,00:00,977.3,,00:10,974.6,,00:20,977.3,,00:30,975.9,,00:40,975.9,,00:50,977.3,,01:00,975.9,,01:10,974.6,,01:20,975.9,,01:30,973.2,,01:40,975.9,,01:50,975.9,,02:00,977.3,,971.9,
nuclear,核三#1,951.0,00:00,944.9,,00:10,944.9,,00:20,946.1,,00:30,944.9,,00:40,947.2,,00:50,944.9,,01:00,943.8,,01:10,943.8,,01:20,946.1,,01:30,943.8,,01:40,943.8,,01:50,942.6,,02:00,944.9,,941.5,
nuclear,核三#2,951.0,00:00,941.5,,00:10,941.5,,00:20,941.5,,00:30,941.5,,00:40,943.8,,00:50,942.6,,01:00,940.4,,01:10,940.4,,01:20,941.5,,01:30,940.4,,01:40,940.4,,01:50,940.4,,02:00,942.6,,937.0,
nuclear,小計,3872.0(7.793%),00:00,3713.6(12.229%),,00:10,3709.6(12.257%),,00:20,3714.8(12.334%),,00:30,3710.9(12.423%),,00:40,3715.5(12.439%),,00:50,3716.1(12.645%),,01:00,3707.3(12.684%),,01:10,3708.7(12.796%),,01:20,3712.1(12.792%),,01:30,3704.6(12.971%),,01:40,3706.0(12.884%),,01:50,3706.1(13.001%),,02:00,3714.7(13.101%),,3696.3(10.209%),
coal,林口#1,800.0,00:00,753.7,,00:10,757.9,,00:20,752.4,,00:30,756.0,,00:40,760.5,,00:50,750.5,,01:00,756.0,,01:10,759.1,,01:20,755.6,,01:30,755.9,,01:40,760.2,,01:50,754.5,,02:00,758.2,,747.7,
coal,林口#2,800.0,00:00,755.9,,00:10,759.8,,00:20,755.7,,00:30,758.6,,00:40,763.1,,00:50,754.9,,01:00,759.9,,01:10,762.0,,01:20,760.7,,01:30,760.6,,01:40,763.8,,01:50,756.6,,02:00,759.4,,756.7,
coal,林口#3,800.0,00:00,755.3,,00:10,760.5,,00:20,754.8,,00:30,759.6,,00:40,763.8,,00:50,753.9,,01:00,760.5,,01:10,762.0,,01:20,762.7,,01:30,762.6,,01:40,764.5,,01:50,756.2,,02:00,759.0,,758.1,
coal,台中#1,550.0,00:00,527.2,,00:10,526.1,,00:20,529.3,,00:30,532.3,,00:40,539.7,,00:50,526.5,,01:00,524.2,,01:10,526.7,,01:20,527.9,,01:30,522.6,,01:40,521.5,,01:50,520.0,,02:00,521.6,,514.3,
coal,台中#2,550.0,00:00,517.2,,00:10,525.8,,00:20,512.5,,00:30,526.6,,00:40,514.9,,00:50,510.9,,01:00,520.4,,01:10,525.9,,01:20,519.0,,01:30,526.7,,01:40,517.2,,01:50,524.2,,02:00,518.7,,522.2,
coal,台中#3,550.0,00:00,522.1,運轉限制,00:10,521.4,運轉限制,00:20,515.0,運轉限制,00:30,513.7,運轉限制,00:40,526.4,運轉限制,00:50,509.5,運轉限制,01:00,515.2,運轉限制,01:10,515.1,運轉限制,01:20,516.0,運轉限制,01:30,512.9,運轉限制,01:40,513.7,運轉限制,01:50,518.9,運轉限制,02:00,514.3,運轉限制,515.7,運轉限制
coal,台中#4,550.0,00:00,503.4,,00:10,508.1,,00:20,507.3,,00:30,512.1,,00:40,510.5,,00:50,501.7,,01:00,508.9,,01:10,513.6,,01:20,507.8,,01:30,516.8,,01:40,507.2,,01:50,510.3,,02:00,509.7,,521.4,
coal,台中#5,550.0,00:00,535.2,,00:10,534.3,,00:20,535.0,,00:30,536.6,,00:40,536.6,,00:50,535.8,,01:00,535.0,,01:10,535.2,,01:20,536.6,,01:30,536.6,,01:40,536.6,,01:50,533.4,,02:00,535.0,,534.8,
coal,台中#6,550.0,00:00,0.0,故障,00:10,0.0,故障,00:20,0.0,故障,00:30,0.0,故障,00:40,0.0,故障,00:50,0.0,故障,01:00,0.0,故障,01:10,0.0,故障,01:20,0.0,故障,01:30,0.0,故障,01:40,0.0,故障,01:50,0.0,故障,02:00,0.0,故障,0.0,故障
coal,台中#7,550.0,00:00,522.6,,00:10,522.6,,00:20,524.0,,00:30,521.5,,00:40,524.0,,00:50,525.3,,01:00,524.0,,01:10,524.1,,01:20,524.5,,01:30,521.2,,01:40,522.7,,01:50,521.9,,02:00,524.7,,520.3,
coal,台中#8,550.0,00:00,530.9,,00:10,532.5,,00:20,532.3,,00:30,530.9,,00:40,533.2,,00:50,532.3,,01:00,530.9,,01:10,531.0,,01:20,531.0,,01:30,530.2,,01:40,529.2,,01:50,533.0,,02:00,534.0,,529.8,
