type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50,generation-13:00,note-13:00,generation-13:10,note-13:10,generation-13:20,note-13:20,generation-13:30,note-13:30,generation-13:40,note-13:40,generation-13:50,note-13:50,generation-14:00,note-14:00,generation-14:10,note-14:10,generation-14:20,note-14:20,generation-14:30,note-14:30,generation-14:40,note-14:40,generation-14:50,note-14:50,generation-15:00,note-15:00,generation-15:10,note-15:10,generation-15:20,note-15:20,generation-15:30,note-15:30,generation-15:40,note-15:40,generation-15:50,note-15:50,generation-16:00,note-16:00,generation-16:10,note-16:10
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,979.9,,978.6,,978.6,,977.3,,978.6,,979.9,,975.9,,975.9,,975.9,,977.3,,977.3,,978.6,,975.9,,977.3,,975.9,,978.6,,977.3,,974.6,,977.3,,975.9,,977.3,,977.3,,971.9,,978.6,,975.9,,975.9,,975.9,,975.9,,974.6,,974.6,,977.3,,978.6,,978.6,,975.9,,975.9,,974.6,,975.9,,975.9,,977.3,,975.9,,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障,0.0,故障
nuclear,核三#1,951.0,951.8,,950.6,,950.6,,950.6,,950.6,,950.6,,948.3,,947.2,,948.3,,951.8,,947.2,,949.5,,949.5,,949.5,,946.1,,946.1,,946.1,,949.5,,946.1,,948.3,,947.2,,948.3,,949.5,,949.5,,947.2,,948.3,,950.6,,947.2,,949.5,,947.2,,950.6,,949.5,,950.6,,949.5,,949.5,,949.5,,949.5,,949.5,,949.5,,949.5,,950.6,,950.6,,949.5,,949.5,,949.5,,950.6,,949.5,,949.5,,947.2,,948.3,,947.2,,947.2,,947.2,,947.2,,947.2,,947.2,,948.3,,947.2,,948.3,,948.3,,947.2,,948.3,,948.3,,948.3,,948.3,,948.3,,948.3,,947.2,,947.2,,948.3,,947.2,,947.2,,947.2,,947.2,,948.3,,949.5,,949.5,,949.5,,949.5,,948.3,,948.3,,948.3,,948.3,,948.3,,948.3,,947.2,,949.5,,948.3,,947.2,,948.3,,947.2,,948.3,,948.3,,948.3,,948.3,,948.3,,948.3,,948.3,
nuclear,核三#2,951.0,943.8,,943.8,,943.8,,940.4,,943.8,,942.6,,941.5,,940.4,,942.6,,944.9,,941.5,,942.6,,940.4,,940.4,,939.2,,940.4,,940.4,,942.6,,939.2,,941.5,,940.4,,940.4,,941.5,,941.5,,941.5,,940.4,,942.6,,940.4,,941.5,,941.5,,941.5,,942.6,,942.6,,942.6,,942.6,,941.5,,941.5,,942.6,,942.6,,941.5,,943.8,,943.8,,942.6,,942.6,,942.6,,942.6,,941.5,,943.8,,941.5,,941.5,,941.5,,941.5,,941.5,,940.4,,939.2,,941.5,,941.5,,939.2,,941.5,,941.5,,941.5,,942.6,,940.4,,942.6,,941.5,,941.5,,941.5,,941.5,,940.4,,941.5,,940.4,,940.4,,940.4,,941.5,,941.5,,942.6,,942.6,,942.6,,940.4,,941.5,,941.5,,942.6,,942.6,,941.5,,942.6,,942.6,,941.5,,942.6,,941.5,,941.5,,941.5,,941.5,,941.5,,941.5,,941.5,,941.5,,942.6,,941.5,
nuclear,小計,3872.0(7.677%),2875.5(9.477%),,2873.0(9.549%),,2873.0(9.654%),,2868.3(9.686%),,2873.0(9.720%),,2873.1(9.842%),,2865.7(9.823%),,2863.5(9.918%),,2866.8(9.949%),,2874.0(10.056%),,2866.0(10.156%),,2870.7(10.226%),,2865.8(10.255%),,2867.2(10.275%),,2861.2(10.330%),,2865.1(10.416%),,2863.8(10.400%),,2866.7(10.487%),,2862.6(10.529%),,2865.7(10.552%),,2864.9(10.589%),,2866.0(10.696%),,2862.9(10.647%),,2869.6(10.700%),,2864.6(10.731%),,2864.6(10.823%),,2869.1(10.844%),,2863.5(10.831%),,2865.6(10.805%),,2863.3(10.863%),,2869.4(10.918%),,2870.7(10.925%),,2871.8(11.002%),,2868.0(10.990%),,2868.0(11.073%),,2865.6(11.046%),,2866.9(10.980%),,2868.0(10.970%),,2869.4(10.916%),,2866.9(10.851%),,1894.4(7.128%),,1894.4(7.132%),,1892.1(7.028%),,1892.1(6.994%),,1892.1(6.862%),,1893.2(6.790%),,1891.0(6.684%),,1893.3(6.570%),,1888.7(6.287%),,1889.8(5.993%),,1888.7(5.891%),,1888.7(5.759%),,1888.7(5.690%),,1887.6(5.597%),,1886.4(5.519%),,1888.7(5.482%),,1889.8(5.448%),,1886.4(5.378%),,1889.8(5.353%),,1889.8(5.335%),,1888.7(5.313%),,1890.9(5.268%),,1888.7(5.265%),,1890.9(5.256%),,1889.8(5.202%),,1889.8(5.151%),,1889.8(5.101%),,1888.7(5.069%),,1887.6(5.067%),,1889.8(5.059%),,1887.6(5.024%),,1887.6(5.017%),,1887.6(5.067%),,1888.7(5.151%),,1889.8(5.146%),,1892.1(5.142%),,1892.1(5.117%),,1892.1(5.111%),,1889.9(5.065%),,1889.8(4.929%),,1889.8(4.888%),,1890.9(4.898%),,1890.9(4.886%),,1889.8(4.884%),,1890.9(4.898%),,1889.8(4.908%),,1891.0(4.913%),,1890.9(4.927%),,1888.7(4.913%),,1889.8(4.923%),,1888.7(4.913%),,1889.8(4.922%),,1889.8(4.912%),,1889.8(4.936%),,1889.8(4.947%),,1889.8(4.941%),,1890.9(4.948%),,1889.8(4.956%),
coal,林口#1,800.0,758.0,,759.5,,753.8,,756.5,,755.9,,756.4,,761.1,,756.2,,758.7,,760.3,,753.6,,752.7,,756.9,,757.3,,759.1,,759.8,,758.7,,757.1,,756.0,,757.9,,755.5,,759.4,,752.6,,757.7,,753.3,,752.8,,755.1,,759.6,,762.1,,756.6,,760.7,,753.8,,749.5,,749.4,,753.7,,755.3,,758.9,,756.2,,754.5,,753.9,,753.2,,756.3,,756.2,,753.3,,758.9,,751.1,,749.7,,755.8,,754.3,,758.0,,751.3,,751.7,,760.4,,754.6,,753.7,,754.3,,754.0,,751.1,,755.1,,748.4,,746.7,,752.5,,754.2,,750.1,,754.4,,759.3,,758.8,,756.6,,758.4,,757.8,,752.5,,760.3,,751.5,,754.4,,753.7,,755.9,,758.0,,753.8,,752.3,,756.0,,759.3,,760.7,,757.3,,758.6,,753.8,,749.0,,756.4,,754.9,,755.8,,755.3,,756.7,,756.0,,757.5,,760.0,,757.3,,757.7,,757.1,,754.4,
coal,林口#2,800.0,759.2,,761.0,,757.8,,758.7,,760.5,,758.0,,763.2,,760.5,,760.7,,762.6,,757.7,,755.5,,760.6,,759.8,,761.3,,762.0,,761.5,,759.0,,757.7,,758.6,,758.8,,760.8,,755.0,,758.2,,758.6,,754.7,,756.8,,762.1,,763.4,,760.2,,760.8,,755.4,,751.8,,754.0,,757.0,,758.0,,759.5,,758.3,,757.4,,760.5,,754.4,,757.9,,755.9,,752.6,,759.4,,754.4,,753.2,,759.1,,758.7,,760.4,,751.2,,754.8,,762.4,,756.9,,756.1,,756.8,,755.0,,750.9,,757.1,,748.2,,748.1,,754.5,,755.4,,751.0,,758.1,,763.1,,760.9,,757.9,,759.8,,758.5,,756.3,,763.1,,753.3,,760.9,,760.0,,758.0,,759.5,,756.9,,756.6,,758.4,,762.5,,762.4,,758.9,,760.1,,757.5,,749.1,,757.4,,755.2,,757.8,,757.6,,758.4,,759.0,,759.7,,762.4,,758.4,,758.4,,759.1,,756.9,
coal,林口#3,800.0,760.1,,761.9,,752.9,,758.8,,758.7,,760.9,,762.9,,759.6,,762.1,,763.3,,756.0,,756.4,,761.1,,760.4,,761.4,,764.2,,761.8,,760.9,,759.7,,761.4,,758.5,,761.0,,755.2,,760.1,,757.3,,754.0,,757.6,,762.0,,765.1,,761.6,,762.4,,753.8,,755.6,,757.5,,759.0,,759.5,,761.5,,760.4,,758.3,,757.6,,756.4,,756.0,,751.7,,748.4,,753.8,,749.8,,752.5,,758.9,,758.5,,761.5,,754.9,,755.3,,764.9,,759.1,,755.8,,758.4,,757.7,,752.2,,756.0,,750.7,,748.3,,756.0,,757.8,,753.6,,759.3,,764.3,,763.3,,760.4,,762.5,,759.5,,758.2,,763.4,,755.2,,763.1,,760.1,,759.8,,762.8,,758.6,,755.3,,756.7,,760.7,,758.6,,753.5,,754.8,,754.0,,750.7,,757.6,,758.7,,761.4,,758.8,,759.1,,759.9,,758.7,,761.7,,758.6,,758.5,,760.3,,757.5,
coal,台中#1,550.0,326.2,,333.0,,333.8,,335.5,,332.4,,331.5,,333.2,,333.8,,334.7,,337.0,,332.2,,333.8,,334.5,,330.6,,336.2,,330.6,,335.3,,332.4,,336.3,,329.3,,333.0,,336.0,,332.1,,336.0,,333.2,,323.8,,334.0,,334.1,,337.3,,336.3,,341.1,,333.9,,334.8,,336.4,,337.1,,329.5,,337.0,,333.0,,336.0,,334.6,,333.0,,332.3,,332.3,,328.1,,334.0,,333.0,,325.9,,329.0,,362.3,,398.6,,424.5,,423.8,,433.4,,425.5,,429.3,,433.3,,417.4,,399.9,,386.0,,375.3,,357.9,,336.1,,325.4,,326.7,,332.3,,336.1,,340.2,,328.3,,337.8,,338.6,,331.5,,337.7,,329.9,,336.9,,342.9,,360.0,,379.6,,412.6,,432.0,,456.7,,458.0,,469.4,,495.3,,517.3,,520.7,,520.0,,521.5,,523.2,,520.9,,523.3,,521.1,,521.1,,522.6,,519.9,,518.9,,516.0,,525.4,,523.4,
coal,台中#2,550.0,340.6,,339.1,,330.5,,333.6,,332.7,,336.7,,333.7,,335.9,,336.8,,339.9,,331.3,,333.7,,332.1,,326.8,,332.1,,333.7,,332.1,,333.1,,330.6,,333.7,,328.0,,333.0,,330.4,,337.6,,336.9,,324.1,,328.2,,336.8,,336.1,,336.7,,340.0,,333.4,,330.2,,338.1,,333.6,,331.2,,331.2,,330.9,,331.4,,329.4,,313.9,,326.1,,335.5,,334.7,,331.0,,335.3,,337.6,,329.2,,366.0,,389.1,,418.6,,416.9,,424.7,,419.2,,418.7,,419.5,,395.9,,377.7,,371.4,,387.9,,373.3,,347.8,,335.2,,329.8,,329.0,,336.8,,335.4,,337.6,,332.4,,334.0,,333.0,,334.8,,327.6,,338.0,,342.0,,366.4,,395.5,,403.7,,424.9,,449.0,,455.5,,455.5,,489.8,,514.5,,522.4,,505.3,,515.4,,503.5,,516.5,,518.2,,513.0,,516.2,,510.7,,511.6,,505.9,,513.2,,513.2,,512.9,
