type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40
nuclear,核二#1,985.0,781.6,燃料限制,784.2,燃料限制,782.9,燃料限制,781.6,燃料限制,782.9,燃料限制,781.6,燃料限制,782.9,燃料限制,781.6,燃料限制,780.2,燃料限制,781.6,燃料限制,778.9,燃料限制,781.6,燃料限制,780.2,燃料限制,778.9,燃料限制,780.2,燃料限制,778.9,燃料限制,780.2,燃料限制,780.2,燃料限制,777.5,燃料限制,778.9,燃料限制,781.6,燃料限制,781.6,燃料限制,780.2,燃料限制,780.2,燃料限制,784.2,燃料限制,780.2,燃料限制,778.9,燃料限制,782.9,燃料限制,782.9,燃料限制,782.9,燃料限制,781.6,燃料限制,781.6,燃料限制,780.2,燃料限制,780.2,燃料限制,780.2,燃料限制,782.9,燃料限制,782.9,燃料限制,780.2,燃料限制,782.9,燃料限制,780.2,燃料限制,780.2,燃料限制,778.9,燃料限制,780.2,燃料限制,784.2,燃料限制,781.6,燃料限制,780.2,燃料限制,780.2,燃料限制,780.2,燃料限制,778.9,燃料限制,780.2,燃料限制,780.2,燃料限制,780.2,燃料限制,777.5,燃料限制,781.6,燃料限制,780.2,燃料限制,777.5,燃料限制,777.5,燃料限制,778.9,燃料限制,776.2,燃料限制
nuclear,核二#2,985.0,974.6,,975.9,,975.9,,975.9,,974.6,,974.6,,977.3,,974.6,,974.6,,975.9,,973.2,,974.6,,977.3,,973.2,,974.6,,975.9,,974.6,,974.6,,973.2,,974.6,,974.6,,975.9,,971.9,,973.2,,975.9,,974.6,,973.2,,977.3,,974.6,,974.6,,974.6,,975.9,,974.6,,973.2,,974.6,,975.9,,975.9,,977.3,,974.6,,975.9,,975.9,,973.2,,974.6,,977.3,,977.3,,974.6,,974.6,,975.9,,974.6,,974.6,,974.6,,973.2,,973.2,,973.2,,974.6,,973.2,,971.9,,973.2,,973.2,
nuclear,核三#1,951.0,948.3,,946.1,,948.3,,948.3,,949.5,,948.3,,943.8,,947.2,,947.2,,947.2,,947.2,,947.2,,947.2,,943.8,,946.1,,947.2,,947.2,,944.9,,946.1,,947.2,,944.9,,944.9,,944.9,,946.1,,947.2,,944.9,,947.2,,948.3,,946.1,,948.3,,946.1,,947.2,,946.1,,947.2,,946.1,,943.8,,944.9,,947.2,,944.9,,948.3,,944.9,,946.1,,944.9,,946.1,,946.1,,946.1,,944.9,,947.2,,946.1,,947.2,,947.2,,943.8,,946.1,,946.1,,944.9,,946.1,,946.1,,944.9,,944.9,
nuclear,核三#2,951.0,940.4,,941.5,,941.5,,941.5,,940.4,,941.5,,940.4,,941.5,,940.4,,941.5,,940.4,,940.4,,940.4,,938.1,,939.2,,941.5,,939.2,,938.1,,938.1,,939.2,,938.1,,938.1,,937.0,,938.1,,939.2,,937.0,,939.2,,940.4,,939.2,,940.4,,939.2,,940.4,,939.2,,939.2,,939.2,,938.1,,939.2,,939.2,,938.1,,940.4,,939.2,,939.2,,938.1,,938.1,,939.2,,940.4,,937.0,,940.4,,939.2,,939.2,,939.2,,937.0,,938.1,,938.1,,939.2,,939.2,,938.1,,939.2,,939.2,
nuclear,小計,3872.0(7.745%),3644.9(12.442%),,3647.7(12.444%),,3648.6(12.600%),,3647.3(12.699%),,3647.4(12.749%),,3646.0(12.845%),,3644.4(12.971%),,3644.9(13.095%),,3642.4(13.047%),,3646.2(13.209%),,3639.7(13.211%),,3643.8(13.353%),,3645.1(13.422%),,3634.0(13.495%),,3640.1(13.539%),,3643.5(13.557%),,3641.2(13.590%),,3637.8(13.682%),,3634.9(13.835%),,3639.9(13.868%),,3639.2(13.901%),,3640.5(13.905%),,3634.0(14.015%),,3637.6(13.993%),,3646.5(14.140%),,3636.7(14.061%),,3638.5(14.149%),,3648.9(14.283%),,3642.8(14.174%),,3646.2(14.259%),,3641.5(14.250%),,3645.1(14.418%),,3640.1(14.326%),,3639.8(14.345%),,3640.1(14.424%),,3640.7(14.468%),,3642.9(14.366%),,3643.9(14.304%),,3640.5(14.319%),,3644.8(14.357%),,3640.2(14.263%),,3637.4(14.206%),,3637.8(14.073%),,3645.7(13.888%),,3644.2(13.771%),,3641.3(13.717%),,3636.7(13.381%),,3643.7(13.114%),,3638.8(12.606%),,3641.2(12.024%),,3641.2(11.804%),,3634.2(11.529%),,3634.9(11.335%),,3639.0(11.227%),,3638.9(11.165%),,3636.0(11.015%),,3633.6(11.004%),,3636.2(10.907%),,3633.5(10.804%),
coal,林口#1,800.0,757.2,,757.7,,761.1,,760.9,,755.2,,757.8,,756.1,,755.7,,758.8,,758.6,,761.8,,757.3,,757.7,,761.9,,756.2,,758.5,,755.7,,754.6,,763.9,,760.6,,757.9,,754.6,,759.4,,759.6,,756.0,,762.9,,758.6,,753.1,,756.9,,757.5,,755.0,,757.3,,760.9,,761.2,,756.2,,752.9,,756.1,,756.0,,756.7,,756.2,,761.3,,761.4,,759.6,,762.3,,757.5,,760.9,,760.0,,750.7,,756.9,,751.2,,755.3,,755.0,,761.3,,749.3,,755.5,,757.0,,756.4,,751.3,,754.5,
coal,林口#2,800.0,758.0,,759.8,,759.8,,760.3,,757.3,,759.2,,759.7,,757.2,,761.8,,761.5,,763.2,,762.5,,759.4,,764.8,,760.4,,760.4,,759.6,,758.2,,763.4,,763.0,,761.5,,759.6,,761.5,,761.8,,760.3,,766.0,,762.6,,755.3,,760.3,,760.1,,757.1,,760.0,,761.7,,762.7,,759.2,,754.1,,760.4,,759.7,,760.7,,758.4,,762.6,,763.7,,762.0,,763.7,,760.0,,762.4,,762.3,,756.5,,760.6,,757.4,,757.8,,758.2,,763.5,,754.0,,757.2,,758.2,,759.7,,757.1,,759.4,
coal,林口#3,800.0,759.7,,761.3,,760.9,,763.2,,757.3,,758.6,,757.2,,754.0,,759.3,,759.8,,763.8,,759.2,,759.8,,764.6,,758.8,,759.2,,758.3,,756.8,,764.9,,760.8,,761.0,,757.5,,762.4,,762.5,,758.9,,766.3,,762.6,,753.6,,759.8,,760.0,,756.9,,760.0,,762.4,,763.2,,759.8,,753.2,,760.6,,756.7,,758.3,,754.6,,762.4,,762.9,,759.4,,763.2,,759.1,,761.2,,760.2,,753.9,,759.6,,757.5,,755.7,,757.2,,761.3,,752.2,,755.1,,757.7,,758.6,,754.6,,757.6,
coal,台中#1,550.0,375.3,,385.3,,378.3,,387.6,,376.7,,379.0,,380.7,,378.3,,380.1,,383.8,,385.6,,380.6,,379.2,,381.6,,378.3,,371.4,,377.5,,377.5,,385.4,,383.1,,382.5,,376.0,,384.0,,381.6,,380.2,,380.1,,381.7,,373.6,,374.6,,378.5,,381.6,,378.3,,381.4,,380.9,,379.2,,373.7,,377.6,,375.5,,379.2,,378.9,,383.6,,378.6,,378.8,,378.3,,382.9,,383.2,,379.8,,375.3,,374.5,,382.5,,373.0,,369.9,,386.2,,378.8,,376.8,,378.2,,367.5,,324.1,,330.7,
coal,台中#2,550.0,367.9,,370.4,,367.9,,370.2,,365.3,,371.0,,368.2,,376.5,,377.5,,376.0,,388.7,,372.9,,379.7,,380.0,,377.6,,376.8,,373.5,,391.7,,371.3,,370.6,,383.0,,376.8,,370.7,,376.0,,375.5,,370.7,,372.2,,374.7,,366.6,,372.2,,375.2,,372.1,,370.6,,371.5,,369.8,,368.9,,371.5,,364.4,,372.7,,371.9,,379.3,,377.9,,373.9,,372.9,,365.1,,370.7,,373.0,,375.2,,367.5,,373.3,,372.4,,382.3,,384.0,,381.7,,380.4,,388.1,,359.1,,335.2,,335.1,
