type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,969.2,,970.6,,969.2,,970.6,,971.9,,970.6,,969.2,,970.6,,969.2,,969.2,,967.9,,970.6,,970.6,,970.6,,973.2,,971.9,,973.2,,973.2,,970.6,,970.6,,971.9,,970.6,,970.6,,971.9,,970.6,,973.2,,973.2,
nuclear,核三#1,951.0,942.6,,944.9,,941.5,,942.6,,943.8,,943.8,,943.8,,944.9,,943.8,,943.8,,942.6,,944.9,,946.1,,944.9,,943.8,,943.8,,943.8,,944.9,,944.9,,943.8,,943.8,,944.9,,943.8,,946.1,,941.5,,944.9,,943.8,
nuclear,核三#2,951.0,934.7,,937.0,,934.7,,935.8,,935.8,,935.8,,934.7,,935.8,,935.8,,934.7,,934.7,,938.1,,937.0,,937.0,,935.8,,937.0,,937.0,,938.1,,937.0,,935.8,,937.0,,938.1,,937.0,,938.1,,934.7,,938.1,,937.0,
nuclear,小計,3872.0(7.745%),2846.5(9.961%),,2852.5(10.003%),,2845.4(10.145%),,2849.0(10.232%),,2851.5(10.323%),,2850.2(10.387%),,2847.7(10.415%),,2851.3(10.545%),,2848.8(10.578%),,2847.7(10.707%),,2845.2(10.667%),,2853.6(10.910%),,2853.7(10.905%),,2852.5(10.890%),,2852.8(10.911%),,2852.7(11.068%),,2854.0(11.185%),,2856.2(11.170%),,2852.5(11.244%),,2850.2(11.330%),,2852.7(11.309%),,2853.6(11.474%),,2851.4(11.417%),,2856.1(11.488%),,2846.8(11.398%),,2856.2(11.503%),,2854.0(11.661%),
coal,林口#1,800.0,762.2,,756.0,,757.5,,757.2,,755.8,,759.3,,756.5,,758.9,,756.2,,758.2,,759.3,,757.0,,756.6,,756.9,,754.7,,754.0,,751.3,,752.3,,757.6,,754.1,,755.1,,749.9,,756.1,,753.7,,759.3,,753.0,,750.4,
coal,林口#2,800.0,764.7,,761.3,,759.4,,758.9,,757.1,,760.8,,760.0,,764.0,,759.9,,762.0,,764.5,,757.1,,758.3,,762.7,,753.5,,755.2,,752.1,,754.5,,759.5,,754.1,,758.3,,753.3,,759.4,,758.9,,762.5,,754.6,,752.9,
coal,林口#3,800.0,756.3,,755.8,,755.3,,757.3,,756.3,,758.0,,757.0,,758.8,,755.9,,757.8,,759.5,,755.9,,755.1,,755.2,,751.5,,749.8,,749.7,,746.8,,757.3,,753.6,,756.9,,750.1,,756.9,,755.1,,760.3,,751.7,,754.3,
coal,台中#1,550.0,431.0,,429.4,,439.7,,472.8,,482.0,,482.3,,474.6,,481.2,,471.8,,478.4,,474.1,,457.6,,439.5,,419.2,,417.3,,425.3,,430.6,,421.3,,427.1,,428.5,,433.2,,421.7,,398.5,,387.0,,386.2,,383.9,,387.0,
coal,台中#2,550.0,418.1,,418.8,,438.4,,462.3,,474.8,,471.1,,468.0,,466.5,,469.5,,475.9,,456.5,,444.4,,433.2,,420.5,,429.8,,425.2,,423.5,,420.4,,433.2,,425.9,,430.0,,415.8,,393.0,,375.8,,375.9,,368.7,,366.1,
coal,台中#3,550.0,421.7,,433.2,,458.5,,474.0,,473.4,,482.2,,476.6,,478.4,,475.3,,482.5,,478.5,,457.5,,426.4,,425.0,,431.9,,437.4,,432.0,,433.6,,434.5,,429.6,,432.1,,431.9,,416.1,,377.6,,371.4,,378.6,,382.4,
coal,台中#4,550.0,422.8,,425.1,,449.4,,479.9,,479.0,,476.0,,476.3,,474.0,,472.9,,475.1,,472.2,,468.0,,447.1,,429.5,,422.8,,417.8,,424.7,,423.9,,434.4,,427.4,,429.9,,425.1,,414.4,,388.0,,380.8,,376.9,,372.2,
coal,台中#5,550.0,432.9,,432.2,,448.0,,471.8,,481.8,,485.0,,483.7,,483.6,,482.4,,481.2,,482.1,,469.2,,452.2,,437.1,,432.9,,432.2,,431.5,,433.2,,432.5,,433.2,,433.3,,433.1,,414.8,,393.1,,390.2,,391.8,,382.4,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,472.7,,464.9,,457.9,,470.8,,466.2,,473.8,,475.4,,489.2,,487.5,,498.4,,490.2,,460.2,,432.8,,410.3,,414.0,,421.3,,427.4,,422.2,,394.1,,445.7,,425.0,,427.5,,412.9,,371.6,,353.4,,372.9,,375.1,
coal,台中#8,550.0,486.8,,486.8,,485.2,,484.5,,489.2,,489.2,,482.9,,502.9,,512.5,,514.1,,504.8,,484.6,,459.5,,440.3,,438.6,,438.5,,437.0,,434.6,,438.6,,436.9,,437.8,,439.2,,427.7,,405.4,,388.3,,384.4,,383.5,
coal,台中#9,550.0,473.7,,471.4,,472.4,,472.3,,485.6,,492.3,,478.5,,477.3,,491.2,,475.5,,462.4,,459.6,,431.6,,424.1,,425.2,,424.5,,424.6,,424.1,,424.7,,424.7,,424.9,,424.1,,415.0,,386.2,,375.5,,375.9,,375.6,
