type,name,capacity,time-23:50,generation-23:50,note-23:50,time-00:00,generation-00:00,note-00:00,time-00:10,generation-00:10,note-00:10,time-00:20,generation-00:20,note-00:20,time-00:30,generation-00:30,note-00:30,time-00:40,generation-00:40,note-00:40,time-00:50,generation-00:50,note-00:50,time-01:00,generation-01:00,note-01:00,time-01:10,generation-01:10,note-01:10,time-01:20,generation-01:20,note-01:20,time-01:30,generation-01:30,note-01:30,time-01:40,generation-01:40,note-01:40,time-01:50,generation-01:50,note-01:50,time-02:00,generation-02:00,note-02:00,time-02:10,generation-02:10,note-02:10,time-02:20,generation-02:20,note-02:20,time-02:30,generation-02:30,note-02:30,time-02:40,generation-02:40,note-02:40,time-02:50,generation-02:50,note-02:50,time-03:00,generation-03:00,note-03:00,time-03:10,generation-03:10,note-03:10,time-03:20,generation-03:20,note-03:20,time-03:30,generation-03:30,note-03:30,time-03:40,generation-03:40,note-03:40,time-03:50,generation-03:50,note-03:50,time-04:00,generation-04:00,note-04:00,time-04:10,generation-04:10,note-04:10,time-04:20,generation-04:20,note-04:20,time-04:30,generation-04:30,note-04:30,time-04:40,generation-04:40,note-04:40,time-04:50,generation-04:50,note-04:50,time-05:00,generation-05:00,note-05:00,time-05:10,generation-05:10,note-05:10,time-05:20,generation-05:20,note-05:20,time-05:30,generation-05:30,note-05:30,time-05:40,generation-05:40,note-05:40,time-05:50,generation-05:50,note-05:50,time-06:00,generation-06:00,note-06:00,time-06:10,generation-06:10,note-06:10,time-06:20,generation-06:20,note-06:20,time-06:30,generation-06:30,note-06:30,time-06:40,generation-06:40,note-06:40,time-06:50,generation-06:50,note-06:50,time-07:00,generation-07:00,note-07:00,time-07:10,generation-07:10,note-07:10,time-07:20,generation-07:20,note-07:20,time-07:30,generation-07:30,note-07:30,time-07:40,generation-07:40,note-07:40,time-07:50,generation-07:50,note-07:50,time-08:00,generation-08:00,note-08:00,time-08:10,generation-08:10,note-08:10,time-08:20,generation-08:20,note-08:20,time-08:30,generation-08:30,note-08:30,time-08:40,generation-08:40,note-08:40,time-08:50,generation-08:50,note-08:50,time-09:00,generation-09:00,note-09:00,time-09:10,generation-09:10,note-09:10,time-09:20,generation-09:20,note-09:20,time-09:30,generation-09:30,note-09:30,time-09:40,generation-09:40,note-09:40,time-09:50,generation-09:50,note-09:50,time-10:00,generation-10:00,note-10:00,time-10:10,generation-10:10,note-10:10,time-10:20,generation-10:20,note-10:20,time-10:30,generation-10:30,note-10:30,time-10:40,generation-10:40,note-10:40,time-10:50,generation-10:50,note-10:50,time-11:00,generation-11:00,note-11:00,time-11:10,generation-11:10,note-11:10,time-11:20,generation-11:20,note-11:20,time-11:30,generation-11:30,note-11:30,time-11:40,generation-11:40,note-11:40,time-11:50,generation-11:50,note-11:50,time-12:00,generation-12:00,note-12:00,time-12:10,generation-12:10,note-12:10,time-12:20,generation-12:20,note-12:20,time-12:30,generation-12:30,note-12:30,time-12:40,generation-12:40,note-12:40,time-12:50,generation-12:50,note-12:50,time-13:00,generation-13:00,note-13:00,time-13:10,generation-13:10,note-13:10,time-13:20,generation-13:20,note-13:20,time-13:30,generation-13:30,note-13:30,time-13:40,generation-13:40,note-13:40,time-13:50,generation-13:50,note-13:50,time-14:00,generation-14:00,note-14:00,time-14:10,generation-14:10,note-14:10,time-14:20,generation-14:20,note-14:20,time-14:30,generation-14:30,note-14:30,time-14:40,generation-14:40,note-14:40,time-14:50,generation-14:50,note-14:50,time-15:00,generation-15:00,note-15:00,time-15:10,generation-15:10,note-15:10,time-15:20,generation-15:20,note-15:20,time-15:30,generation-15:30,note-15:30,time-15:40,generation-15:40,note-15:40,time-15:50,generation-15:50,note-15:50,time-16:00,generation-16:00,note-16:00,time-16:10,generation-16:10,note-16:10,time-16:20,generation-16:20,note-16:20,time-16:30,generation-16:30,note-16:30,time-16:40,generation-16:40,note-16:40,time-16:50,generation-16:50,note-16:50,time-17:00,generation-17:00,note-17:00,time-17:10,generation-17:10,note-17:10
nuclear,核二#1,985.0,23:50,851.3,燃料限制,00:00,852.6,燃料限制,00:10,849.9,燃料限制,00:20,849.9,燃料限制,00:30,851.3,燃料限制,00:40,853.9,燃料限制,00:50,852.6,燃料限制,01:00,851.3,燃料限制,01:10,849.9,燃料限制,01:20,849.9,燃料限制,01:30,849.9,燃料限制,01:40,847.2,燃料限制,01:50,851.3,燃料限制,02:00,848.6,燃料限制,02:10,848.6,燃料限制,02:20,849.9,燃料限制,02:30,849.9,燃料限制,02:40,848.6,燃料限制,02:50,853.9,燃料限制,03:00,851.3,燃料限制,03:10,851.3,燃料限制,03:20,847.2,燃料限制,03:30,849.9,燃料限制,03:40,851.3,燃料限制,03:50,848.6,燃料限制,04:00,851.3,燃料限制,04:10,851.3,燃料限制,04:20,849.9,燃料限制,04:30,851.3,燃料限制,04:40,852.6,燃料限制,04:50,849.9,燃料限制,05:00,849.9,燃料限制,05:10,848.6,燃料限制,05:20,852.6,燃料限制,05:30,851.3,燃料限制,05:40,851.3,燃料限制,05:50,852.6,燃料限制,06:00,849.9,燃料限制,06:10,852.6,燃料限制,06:20,851.3,燃料限制,06:30,851.3,燃料限制,06:40,851.3,燃料限制,06:50,849.9,燃料限制,07:00,851.3,燃料限制,07:10,852.6,燃料限制,07:20,849.9,燃料限制,07:30,849.9,燃料限制,07:40,853.9,燃料限制,07:50,848.6,燃料限制,08:00,849.9,燃料限制,08:10,848.6,燃料限制,08:20,849.9,燃料限制,08:30,847.2,燃料限制,08:40,849.9,燃料限制,08:50,849.9,燃料限制,09:00,848.6,燃料限制,09:10,853.9,燃料限制,09:20,849.9,燃料限制,09:30,851.3,燃料限制,09:40,849.9,燃料限制,09:50,853.9,燃料限制,10:00,849.9,燃料限制,10:10,849.9,燃料限制,10:20,852.6,燃料限制,10:30,849.9,燃料限制,10:40,849.9,燃料限制,10:50,847.2,燃料限制,11:00,851.3,燃料限制,11:10,848.6,燃料限制,11:20,847.2,燃料限制,11:30,847.2,燃料限制,11:40,847.2,燃料限制,11:50,845.9,燃料限制,12:00,844.6,燃料限制,12:10,845.9,燃料限制,12:20,848.6,燃料限制,12:30,845.9,燃料限制,12:40,843.2,燃料限制,12:50,845.9,燃料限制,13:00,845.9,燃料限制,13:10,845.9,燃料限制,13:20,847.2,燃料限制,13:30,849.9,燃料限制,13:40,847.2,燃料限制,13:50,848.6,燃料限制,14:00,844.6,燃料限制,14:10,845.9,燃料限制,14:20,848.6,燃料限制,14:30,845.9,燃料限制,14:40,847.2,燃料限制,14:50,847.2,燃料限制,15:00,845.9,燃料限制,15:10,847.2,燃料限制,15:20,848.6,燃料限制,15:30,848.6,燃料限制,15:40,849.9,燃料限制,15:50,849.9,燃料限制,16:00,851.3,燃料限制,16:10,848.6,燃料限制,16:20,852.6,燃料限制,16:30,851.3,燃料限制,16:40,851.3,燃料限制,16:50,851.3,燃料限制,17:00,855.3,燃料限制,17:10,849.9,燃料限制
nuclear,核二#2,985.0,23:50,974.6,,00:00,974.6,,00:10,974.6,,00:20,977.3,,00:30,975.9,,00:40,979.9,,00:50,975.9,,01:00,975.9,,01:10,975.9,,01:20,975.9,,01:30,975.9,,01:40,974.6,,01:50,977.3,,02:00,975.9,,02:10,971.9,,02:20,974.6,,02:30,973.2,,02:40,974.6,,02:50,975.9,,03:00,974.6,,03:10,975.9,,03:20,971.9,,03:30,975.9,,03:40,977.3,,03:50,973.2,,04:00,974.6,,04:10,975.9,,04:20,975.9,,04:30,974.6,,04:40,977.3,,04:50,977.3,,05:00,974.6,,05:10,975.9,,05:20,975.9,,05:30,975.9,,05:40,977.3,,05:50,977.3,,06:00,977.3,,06:10,975.9,,06:20,974.6,,06:30,978.6,,06:40,978.6,,06:50,975.9,,07:00,975.9,,07:10,974.6,,07:20,974.6,,07:30,973.2,,07:40,975.9,,07:50,975.9,,08:00,977.3,,08:10,974.6,,08:20,977.3,,08:30,974.6,,08:40,978.6,,08:50,977.3,,09:00,973.2,,09:10,977.3,,09:20,974.6,,09:30,974.6,,09:40,978.6,,09:50,977.3,,10:00,977.3,,10:10,977.3,,10:20,977.3,,10:30,974.6,,10:40,975.9,,10:50,974.6,,11:00,974.6,,11:10,971.9,,11:20,974.6,,11:30,975.9,,11:40,973.2,,11:50,974.6,,12:00,971.9,,12:10,970.6,,12:20,971.9,,12:30,971.9,,12:40,970.6,,12:50,974.6,,13:00,974.6,,13:10,973.2,,13:20,974.6,,13:30,973.2,,13:40,971.9,,13:50,971.9,,14:00,969.2,,14:10,970.6,,14:20,970.6,,14:30,970.6,,14:40,973.2,,14:50,975.9,,15:00,974.6,,15:10,975.9,,15:20,973.2,,15:30,977.3,,15:40,975.9,,15:50,977.3,,16:00,975.9,,16:10,975.9,,16:20,975.9,,16:30,974.6,,16:40,978.6,,16:50,975.9,,17:00,981.3,,17:10,977.3,
nuclear,核三#1,951.0,23:50,941.5,,00:00,942.6,,00:10,943.8,,00:20,943.8,,00:30,943.8,,00:40,943.8,,00:50,942.6,,01:00,941.5,,01:10,942.6,,01:20,944.9,,01:30,943.8,,01:40,941.5,,01:50,942.6,,02:00,943.8,,02:10,942.6,,02:20,943.8,,02:30,942.6,,02:40,942.6,,02:50,942.6,,03:00,940.4,,03:10,942.6,,03:20,940.4,,03:30,942.6,,03:40,943.8,,03:50,942.6,,04:00,942.6,,04:10,942.6,,04:20,941.5,,04:30,940.4,,04:40,941.5,,04:50,941.5,,05:00,941.5,,05:10,942.6,,05:20,941.5,,05:30,941.5,,05:40,941.5,,05:50,941.5,,06:00,943.8,,06:10,941.5,,06:20,942.6,,06:30,940.4,,06:40,941.5,,06:50,942.6,,07:00,942.6,,07:10,940.4,,07:20,941.5,,07:30,940.4,,07:40,942.6,,07:50,940.4,,08:00,941.5,,08:10,940.4,,08:20,941.5,,08:30,940.4,,08:40,942.6,,08:50,941.5,,09:00,941.5,,09:10,942.6,,09:20,940.4,,09:30,942.6,,09:40,942.6,,09:50,942.6,,10:00,941.5,,10:10,938.1,,10:20,933.5,,10:30,935.8,,10:40,934.7,,10:50,934.7,,11:00,934.7,,11:10,933.5,,11:20,934.7,,11:30,934.7,,11:40,933.5,,11:50,934.7,,12:00,934.7,,12:10,933.5,,12:20,937.0,,12:30,935.8,,12:40,938.1,,12:50,938.1,,13:00,938.1,,13:10,935.8,,13:20,940.4,,13:30,939.2,,13:40,941.5,,13:50,940.4,,14:00,938.1,,14:10,940.4,,14:20,940.4,,14:30,937.0,,14:40,940.4,,14:50,942.6,,15:00,938.1,,15:10,938.1,,15:20,938.1,,15:30,939.2,,15:40,941.5,,15:50,941.5,,16:00,942.6,,16:10,941.5,,16:20,942.6,,16:30,940.4,,16:40,944.9,,16:50,942.6,,17:00,944.9,,17:10,946.1,
nuclear,核三#2,951.0,23:50,938.1,,00:00,940.4,,00:10,941.5,,00:20,942.6,,00:30,940.4,,00:40,941.5,,00:50,940.4,,01:00,939.2,,01:10,940.4,,01:20,941.5,,01:30,940.4,,01:40,938.1,,01:50,940.4,,02:00,941.5,,02:10,938.1,,02:20,940.4,,02:30,939.2,,02:40,939.2,,02:50,939.2,,03:00,937.0,,03:10,940.4,,03:20,937.0,,03:30,938.1,,03:40,941.5,,03:50,940.4,,04:00,940.4,,04:10,939.2,,04:20,939.2,,04:30,939.2,,04:40,939.2,,04:50,939.2,,05:00,938.1,,05:10,940.4,,05:20,939.2,,05:30,938.1,,05:40,939.2,,05:50,939.2,,06:00,941.5,,06:10,938.1,,06:20,939.2,,06:30,938.1,,06:40,939.2,,06:50,938.1,,07:00,938.1,,07:10,937.0,,07:20,938.1,,07:30,935.8,,07:40,940.4,,07:50,937.0,,08:00,937.0,,08:10,937.0,,08:20,937.0,,08:30,937.0,,08:40,940.4,,08:50,938.1,,09:00,938.1,,09:10,939.2,,09:20,938.1,,09:30,938.1,,09:40,939.2,,09:50,939.2,,10:00,938.1,,10:10,938.1,,10:20,940.4,,10:30,937.0,,10:40,937.0,,10:50,937.0,,11:00,937.0,,11:10,937.0,,11:20,935.8,,11:30,937.0,,11:40,935.8,,11:50,937.0,,12:00,935.8,,12:10,935.8,,12:20,938.1,,12:30,935.8,,12:40,937.0,,12:50,938.1,,13:00,937.0,,13:10,933.5,,13:20,938.1,,13:30,938.1,,13:40,940.4,,13:50,938.1,,14:00,935.8,,14:10,937.0,,14:20,938.1,,14:30,935.8,,14:40,937.0,,14:50,938.1,,15:00,935.8,,15:10,935.8,,15:20,934.7,,15:30,937.0,,15:40,937.0,,15:50,938.1,,16:00,940.4,,16:10,938.1,,16:20,939.2,,16:30,937.0,,16:40,939.2,,16:50,939.2,,17:00,940.4,,17:10,941.5,
nuclear,小計,3872.0(7.793%),23:50,3705.5(12.311%),,00:00,3710.2(12.471%),,00:10,3709.8(12.612%),,00:20,3713.6(12.683%),,00:30,3711.4(12.695%),,00:40,3719.1(12.791%),,00:50,3711.5(12.866%),,01:00,3707.9(12.946%),,01:10,3708.8(12.985%),,01:20,3712.2(13.138%),,01:30,3710.0(13.204%),,01:40,3701.4(13.179%),,01:50,3711.6(13.335%),,02:00,3709.8(13.399%),,02:10,3701.2(13.427%),,02:20,3708.7(13.448%),,02:30,3704.9(13.539%),,02:40,3705.0(13.548%),,02:50,3711.6(13.730%),,03:00,3703.3(13.705%),,03:10,3710.2(13.860%),,03:20,3696.5(13.805%),,03:30,3706.5(13.908%),,03:40,3713.9(13.999%),,03:50,3704.8(14.031%),,04:00,3708.9(14.013%),,04:10,3709.0(14.093%),,04:20,3706.5(14.111%),,04:30,3705.5(14.157%),,04:40,3710.6(14.163%),,04:50,3707.9(14.146%),,05:00,3704.1(14.221%),,05:10,3707.5(14.295%),,05:20,3709.2(14.452%),,05:30,3706.8(14.286%),,05:40,3709.3(14.311%),,05:50,3710.6(14.441%),,06:00,3712.5(14.405%),,06:10,3708.1(14.274%),,06:20,3707.7(14.210%),,06:30,3708.4(14.182%),,06:40,3710.6(14.203%),,06:50,3706.5(14.014%),,07:00,3707.9(13.848%),,07:10,3704.6(13.722%),,07:20,3704.1(13.563%),,07:30,3699.3(13.409%),,07:40,3712.8(13.209%),,07:50,3701.9(12.987%),,08:00,3705.7(12.561%),,08:10,3700.6(12.010%),,08:20,3705.7(11.723%),,08:30,3699.2(11.482%),,08:40,3711.5(11.395%),,08:50,3706.8(11.281%),,09:00,3701.4(11.104%),,09:10,3713.0(11.066%),,09:20,3703.0(10.965%),,09:30,3706.6(10.897%),,09:40,3710.3(10.933%),,09:50,3713.0(10.823%),,10:00,3706.8(10.771%),,10:10,3703.4(10.706%),,10:20,3703.8(10.618%),,10:30,3697.3(10.528%),,10:40,3697.5(10.458%),,10:50,3693.5(10.392%),,11:00,3697.6(10.351%),,11:10,3691.0(10.276%),,11:20,3692.3(10.289%),,11:30,3694.8(10.202%),,11:40,3689.7(10.199%),,11:50,3692.2(10.202%),,12:00,3687.0(10.313%),,12:10,3685.8(10.496%),,12:20,3695.6(10.493%),,12:30,3689.4(10.576%),,12:40,3688.9(10.489%),,12:50,3696.7(10.533%),,13:00,3695.6(10.432%),,13:10,3688.4(10.106%),,13:20,3700.3(10.102%),,13:30,3700.4(10.071%),,13:40,3701.0(10.088%),,13:50,3699.0(10.000%),,14:00,3687.7(9.964%),,14:10,3693.9(10.019%),,14:20,3697.7(10.064%),,14:30,3689.3(10.048%),,14:40,3697.8(10.053%),,14:50,3703.8(10.112%),,15:00,3694.4(10.128%),,15:10,3697.0(10.167%),,15:20,3694.6(10.134%),,15:30,3702.1(10.140%),,15:40,3704.3(10.187%),,15:50,3706.8(10.205%),,16:00,3710.2(10.242%),,16:10,3704.1(10.175%),,16:20,3710.3(10.214%),,16:30,3703.3(10.171%),,16:40,3714.0(10.295%),,16:50,3709.0(10.359%),,17:00,3721.9(10.525%),,17:10,3714.8(10.656%),
coal,林口#1,800.0,23:50,753.5,,00:00,751.6,,00:10,757.5,,00:20,759.2,,00:30,758.7,,00:40,750.1,,00:50,760.2,,01:00,755.7,,01:10,755.0,,01:20,762.2,,01:30,756.0,,01:40,756.2,,01:50,751.5,,02:00,755.4,,02:10,758.2,,02:20,754.4,,02:30,762.2,,02:40,757.1,,02:50,753.8,,03:00,753.8,,03:10,758.7,,03:20,759.6,,03:30,756.2,,03:40,754.7,,03:50,753.6,,04:00,748.8,,04:10,758.4,,04:20,758.8,,04:30,758.0,,04:40,754.9,,04:50,759.8,,05:00,756.8,,05:10,751.1,,05:20,758.3,,05:30,755.8,,05:40,758.1,,05:50,755.8,,06:00,754.1,,06:10,757.6,,06:20,760.9,,06:30,754.0,,06:40,753.2,,06:50,762.7,,07:00,757.7,,07:10,755.6,,07:20,756.5,,07:30,750.8,,07:40,752.7,,07:50,756.0,,08:00,755.3,,08:10,753.7,,08:20,751.6,,08:30,755.6,,08:40,753.7,,08:50,750.6,,09:00,752.6,,09:10,752.9,,09:20,754.2,,09:30,754.6,,09:40,746.8,,09:50,751.0,,10:00,747.7,,10:10,745.6,,10:20,755.5,,10:30,757.1,,10:40,754.4,,10:50,758.8,,11:00,751.8,,11:10,751.8,,11:20,753.9,,11:30,752.1,,11:40,753.6,,11:50,757.4,,12:00,752.1,,12:10,745.7,,12:20,754.9,,12:30,753.8,,12:40,755.0,,12:50,752.9,,13:00,752.5,,13:10,746.1,,13:20,748.1,,13:30,742.7,,13:40,751.5,,13:50,756.5,,14:00,753.2,,14:10,748.3,,14:20,756.3,,14:30,751.2,,14:40,750.2,,14:50,756.4,,15:00,757.5,,15:10,755.5,,15:20,753.9,,15:30,749.9,,15:40,747.9,,15:50,747.0,,16:00,750.5,,16:10,752.2,,16:20,752.8,,16:30,751.8,,16:40,753.5,,16:50,755.7,,17:00,751.9,,17:10,754.0,
coal,林口#2,800.0,23:50,756.3,,00:00,752.9,,00:10,760.1,,00:20,761.3,,00:30,761.1,,00:40,753.4,,00:50,762.2,,01:00,758.6,,01:10,759.0,,01:20,762.3,,01:30,756.5,,01:40,755.9,,01:50,753.7,,02:00,759.2,,02:10,761.7,,02:20,756.7,,02:30,762.2,,02:40,758.2,,02:50,754.3,,03:00,756.5,,03:10,759.2,,03:20,761.2,,03:30,757.9,,03:40,756.9,,03:50,757.7,,04:00,759.7,,04:10,761.3,,04:20,761.0,,04:30,759.8,,04:40,758.4,,04:50,761.9,,05:00,757.1,,05:10,752.0,,05:20,759.7,,05:30,758.7,,05:40,758.8,,05:50,758.8,,06:00,759.1,,06:10,759.9,,06:20,763.0,,06:30,757.9,,06:40,750.0,,06:50,762.8,,07:00,756.5,,07:10,756.2,,07:20,762.3,,07:30,758.4,,07:40,761.4,,07:50,759.3,,08:00,760.6,,08:10,756.7,,08:20,755.0,,08:30,759.9,,08:40,756.6,,08:50,754.9,,09:00,758.4,,09:10,758.3,,09:20,760.5,,09:30,758.5,,09:40,752.9,,09:50,758.2,,10:00,751.3,,10:10,751.1,,10:20,758.4,,10:30,761.6,,10:40,757.8,,10:50,762.4,,11:00,756.7,,11:10,757.2,,11:20,757.9,,11:30,753.9,,11:40,757.2,,11:50,761.2,,12:00,759.5,,12:10,746.6,,12:20,762.7,,12:30,763.4,,12:40,763.9,,12:50,758.1,,13:00,756.6,,13:10,752.9,,13:20,751.2,,13:30,747.8,,13:40,756.1,,13:50,762.1,,14:00,761.9,,14:10,752.2,,14:20,759.0,,14:30,754.0,,14:40,753.2,,14:50,757.8,,15:00,757.5,,15:10,757.1,,15:20,758.4,,15:30,758.7,,15:40,754.0,,15:50,752.0,,16:00,753.7,,16:10,753.3,,16:20,755.5,,16:30,758.6,,16:40,757.5,,16:50,759.0,,17:00,755.7,,17:10,758.5,
coal,林口#3,800.0,23:50,757.1,,00:00,752.7,,00:10,761.2,,00:20,761.0,,00:30,760.0,,00:40,752.6,,00:50,763.0,,01:00,760.4,,01:10,760.6,,01:20,764.6,,01:30,761.5,,01:40,760.3,,01:50,758.9,,02:00,763.7,,02:10,764.6,,02:20,758.5,,02:30,765.6,,02:40,760.5,,02:50,758.2,,03:00,755.4,,03:10,762.1,,03:20,762.7,,03:30,761.3,,03:40,758.7,,03:50,759.6,,04:00,758.6,,04:10,761.0,,04:20,763.0,,04:30,761.4,,04:40,758.0,,04:50,762.4,,05:00,758.2,,05:10,751.8,,05:20,760.8,,05:30,759.0,,05:40,759.4,,05:50,760.0,,06:00,759.8,,06:10,760.7,,06:20,762.1,,06:30,760.1,,06:40,750.9,,06:50,763.7,,07:00,760.2,,07:10,758.9,,07:20,764.1,,07:30,761.1,,07:40,758.4,,07:50,757.8,,08:00,762.4,,08:10,758.0,,08:20,753.8,,08:30,761.6,,08:40,758.3,,08:50,756.2,,09:00,759.3,,09:10,759.3,,09:20,761.1,,09:30,762.6,,09:40,752.5,,09:50,759.1,,10:00,751.2,,10:10,751.9,,10:20,758.9,,10:30,763.3,,10:40,759.0,,10:50,762.5,,11:00,756.7,,11:10,758.2,,11:20,758.0,,11:30,754.4,,11:40,758.0,,11:50,761.5,,12:00,761.5,,12:10,751.5,,12:20,763.2,,12:30,764.3,,12:40,763.6,,12:50,758.6,,13:00,757.9,,13:10,749.6,,13:20,753.0,,13:30,749.7,,13:40,757.1,,13:50,759.8,,14:00,759.2,,14:10,751.0,,14:20,755.1,,14:30,750.7,,14:40,749.7,,14:50,757.8,,15:00,754.1,,15:10,753.3,,15:20,755.4,,15:30,752.2,,15:40,750.7,,15:50,748.0,,16:00,755.0,,16:10,755.1,,16:20,757.8,,16:30,761.2,,16:40,759.3,,16:50,759.5,,17:00,754.8,,17:10,757.6,
coal,台中#1,550.0,23:50,528.1,運轉限制,00:00,525.4,運轉限制,00:10,530.2,運轉限制,00:20,530.8,運轉限制,00:30,534.0,運轉限制,00:40,520.8,運轉限制,00:50,534.4,運轉限制,01:00,525.2,運轉限制,01:10,522.3,運轉限制,01:20,523.4,運轉限制,01:30,517.8,運轉限制,01:40,519.6,運轉限制,01:50,518.6,運轉限制,02:00,515.3,運轉限制,02:10,492.2,運轉限制,02:20,478.5,運轉限制,02:30,480.3,運轉限制,02:40,476.2,運轉限制,02:50,470.5,運轉限制,03:00,476.3,運轉限制,03:10,473.9,運轉限制,03:20,487.8,運轉限制,03:30,477.0,運轉限制,03:40,476.2,運轉限制,03:50,458.8,運轉限制,04:00,448.7,運轉限制,04:10,441.4,運轉限制,04:20,423.4,運轉限制,04:30,419.1,運轉限制,04:40,426.7,運轉限制,04:50,443.4,運轉限制,05:00,422.4,運轉限制,05:10,428.2,運轉限制,05:20,431.5,運轉限制,05:30,423.1,運轉限制,05:40,404.7,運轉限制,05:50,371.4,運轉限制,06:00,368.6,運轉限制,06:10,385.0,運轉限制,06:20,380.6,運轉限制,06:30,377.0,運轉限制,06:40,377.1,運轉限制,06:50,386.5,運轉限制,07:00,375.5,運轉限制,07:10,389.7,運轉限制,07:20,429.2,運轉限制,07:30,431.2,運轉限制,07:40,445.9,運轉限制,07:50,463.3,運轉限制,08:00,484.5,運轉限制,08:10,504.8,運轉限制,08:20,518.6,運轉限制,08:30,520.4,運轉限制,08:40,520.1,,08:50,519.7,,09:00,521.2,,09:10,515.0,,09:20,516.8,,09:30,511.3,,09:40,515.6,,09:50,519.6,,10:00,517.9,,10:10,520.2,,10:20,524.3,,10:30,523.6,,10:40,522.7,,10:50,527.4,,11:00,518.8,,11:10,518.2,,11:20,513.4,,11:30,516.8,,11:40,508.9,,11:50,516.1,,12:00,516.1,,12:10,512.1,,12:20,511.9,,12:30,510.0,,12:40,511.5,,12:50,505.3,,13:00,512.4,,13:10,498.3,,13:20,511.8,,13:30,527.4,,13:40,516.8,,13:50,521.4,,14:00,516.8,,14:10,515.7,,14:20,519.7,,14:30,510.0,,14:40,505.3,,14:50,508.5,,15:00,513.6,,15:10,513.6,,15:20,510.5,,15:30,511.8,,15:40,509.3,,15:50,515.3,,16:00,511.5,,16:10,519.8,,16:20,523.5,,16:30,519.6,,16:40,520.7,,16:50,526.8,,17:00,518.2,,17:10,522.7,
coal,台中#2,550.0,23:50,514.3,,00:00,516.0,,00:10,525.1,,00:20,521.7,,00:30,514.0,,00:40,510.5,,00:50,517.9,,01:00,515.2,,01:10,515.3,,01:20,523.2,,01:30,517.0,,01:40,524.1,,01:50,511.8,,02:00,498.9,,02:10,498.8,,02:20,465.8,,02:30,472.4,,02:40,472.1,,02:50,473.6,,03:00,472.1,,03:10,477.7,,03:20,483.9,,03:30,474.5,,03:40,471.3,,03:50,460.5,,04:00,426.0,,04:10,427.8,,04:20,425.9,,04:30,419.7,,04:40,423.5,,04:50,430.1,,05:00,422.9,,05:10,420.5,,05:20,419.2,,05:30,416.7,,05:40,393.8,,05:50,385.8,,06:00,375.0,,06:10,381.6,,06:20,377.6,,06:30,375.0,,06:40,367.2,,06:50,383.7,,07:00,370.8,,07:10,405.3,,07:20,424.5,,07:30,427.4,,07:40,441.4,,07:50,454.6,,08:00,483.6,,08:10,528.0,,08:20,526.9,,08:30,522.2,,08:40,533.0,,08:50,524.1,,09:00,526.3,,09:10,518.3,,09:20,526.1,,09:30,521.4,,09:40,515.1,,09:50,527.8,,10:00,515.8,,10:10,517.2,,10:20,516.8,,10:30,515.0,,10:40,537.0,,10:50,522.3,,11:00,515.3,,11:10,520.6,,11:20,512.2,,11:30,522.2,,11:40,512.1,,11:50,527.3,,12:00,518.6,,12:10,517.6,,12:20,519.6,,12:30,520.4,,12:40,514.9,,12:50,515.4,,13:00,520.0,,13:10,513.8,,13:20,520.0,,13:30,510.7,,13:40,516.8,,13:50,527.0,,14:00,519.0,,14:10,513.9,,14:20,527.9,,14:30,521.0,,14:40,518.4,,14:50,525.5,,15:00,518.3,,15:10,523.2,,15:20,517.9,,15:30,521.8,,15:40,494.3,,15:50,527.9,,16:00,517.2,,16:10,522.4,,16:20,517.7,,16:30,524.1,,16:40,524.7,,16:50,515.4,,17:00,520.8,,17:10,520.9,
