type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00
nuclear,核二#1,985.0,825.8,燃料限制,825.8,燃料限制,825.8,燃料限制,825.8,燃料限制,825.8,燃料限制,824.4,燃料限制,825.8,燃料限制,827.1,燃料限制,828.5,燃料限制,828.5,燃料限制,825.8,燃料限制,825.8,燃料限制,825.8,燃料限制,827.1,燃料限制,827.1,燃料限制,824.4,燃料限制,825.8,燃料限制,827.1,燃料限制,829.8,燃料限制,831.1,燃料限制,828.5,燃料限制,828.5,燃料限制,827.1,燃料限制,827.1,燃料限制,827.1,燃料限制,828.5,燃料限制,827.1,燃料限制,828.5,燃料限制,829.8,燃料限制,827.1,燃料限制,827.1,燃料限制,829.8,燃料限制,829.8,燃料限制,828.5,燃料限制,827.1,燃料限制,831.1,燃料限制,832.5,燃料限制,828.5,燃料限制,829.8,燃料限制,828.5,燃料限制,828.5,燃料限制,829.8,燃料限制,825.8,燃料限制,831.1,燃料限制,827.1,燃料限制,829.8,燃料限制,828.5,燃料限制,827.1,燃料限制,828.5,燃料限制,828.5,燃料限制,829.8,燃料限制,827.1,燃料限制,831.1,燃料限制,829.8,燃料限制,829.8,燃料限制,827.1,燃料限制,825.8,燃料限制,827.1,燃料限制,825.8,燃料限制,828.5,燃料限制,829.8,燃料限制,827.1,燃料限制,829.8,燃料限制,827.1,燃料限制,827.1,燃料限制,824.4,燃料限制,825.8,燃料限制
nuclear,核二#2,985.0,967.9,,965.2,,966.5,,966.5,,969.2,,965.2,,969.2,,969.2,,970.6,,969.2,,970.6,,970.6,,970.6,,971.9,,970.6,,967.9,,969.2,,970.6,,973.2,,974.6,,973.2,,974.6,,971.9,,971.9,,973.2,,973.2,,973.2,,973.2,,975.9,,970.6,,974.6,,971.9,,973.2,,974.6,,970.6,,977.3,,978.6,,975.9,,974.6,,974.6,,973.2,,975.9,,970.6,,975.9,,974.6,,974.6,,974.6,,973.2,,974.6,,974.6,,974.6,,973.2,,974.6,,974.6,,975.9,,974.6,,971.9,,973.2,,973.2,,973.2,,973.2,,971.9,,973.2,,974.6,,974.6,,973.2,,971.9,
nuclear,核三#1,951.0,947.2,,948.3,,950.6,,946.1,,947.2,,950.6,,948.3,,949.5,,950.6,,948.3,,950.6,,949.5,,949.5,,950.6,,947.2,,949.5,,948.3,,948.3,,950.6,,950.6,,949.5,,948.3,,950.6,,950.6,,948.3,,949.5,,948.3,,949.5,,948.3,,949.5,,947.2,,947.2,,948.3,,949.5,,950.6,,949.5,,950.6,,948.3,,949.5,,949.5,,949.5,,948.3,,947.2,,952.9,,947.2,,949.5,,952.9,,948.3,,948.3,,947.2,,949.5,,948.3,,948.3,,948.3,,948.3,,947.2,,947.2,,947.2,,948.3,,950.6,,947.2,,948.3,,946.1,,948.3,,947.2,,947.2,,944.9,
nuclear,核三#2,951.0,941.5,,939.2,,943.8,,940.4,,941.5,,942.6,,943.8,,942.6,,943.8,,942.6,,943.8,,942.6,,943.8,,943.8,,942.6,,942.6,,942.6,,942.6,,944.9,,942.6,,942.6,,946.1,,943.8,,943.8,,943.8,,943.8,,942.6,,942.6,,941.5,,941.5,,941.5,,940.4,,941.5,,942.6,,943.8,,942.6,,942.6,,942.6,,942.6,,942.6,,942.6,,943.8,,941.5,,946.1,,940.4,,943.8,,946.1,,942.6,,942.6,,941.5,,943.8,,941.5,,942.6,,941.5,,942.6,,942.6,,941.5,,940.4,,941.5,,942.6,,942.6,,941.5,,940.4,,941.5,,941.5,,941.5,,940.4,
nuclear,小計,3872.0(7.793%),3682.4(15.274%),,3678.5(15.382%),,3686.7(15.570%),,3678.8(15.584%),,3683.7(15.711%),,3682.8(15.649%),,3687.1(15.990%),,3688.4(15.937%),,3693.5(15.993%),,3688.6(16.160%),,3690.8(16.198%),,3688.5(16.364%),,3689.7(16.446%),,3693.4(16.409%),,3687.5(16.473%),,3684.4(16.660%),,3685.9(16.468%),,3688.6(16.654%),,3698.5(16.669%),,3698.9(16.811%),,3693.8(16.909%),,3697.5(16.858%),,3693.4(16.833%),,3693.4(16.928%),,3692.4(16.755%),,3695.0(16.912%),,3691.2(16.846%),,3693.8(16.942%),,3695.5(16.927%),,3688.7(16.888%),,3690.4(16.809%),,3689.3(16.659%),,3692.8(16.698%),,3695.2(16.772%),,3692.1(16.690%),,3700.5(16.773%),,3704.3(16.784%),,3695.3(16.394%),,3696.5(16.447%),,3695.2(16.348%),,3693.8(16.076%),,3697.8(15.974%),,3685.1(15.765%),,3706.0(15.497%),,3689.3(15.151%),,3697.7(15.002%),,3702.1(14.662%),,3691.2(14.280%),,3694.0(13.770%),,3691.8(13.087%),,3697.7(12.828%),,3690.1(12.556%),,3696.6(12.367%),,3694.2(12.107%),,3696.6(11.999%),,3691.5(11.931%),,3686.4(11.854%),,3687.9(11.768%),,3688.8(11.729%),,3694.9(11.742%),,3692.8(11.747%),,3688.8(11.642%),,3689.5(11.578%),,3691.5(11.590%),,3690.4(11.563%),,3686.3(11.509%),,3683.0(11.448%),
coal,林口#1,800.0,758.0,,758.3,,758.8,,760.5,,755.4,,758.6,,754.3,,758.2,,759.4,,757.8,,756.7,,757.7,,754.4,,753.6,,754.1,,760.8,,759.9,,756.5,,753.6,,749.8,,756.5,,752.1,,758.2,,762.7,,758.3,,762.3,,756.7,,757.0,,753.6,,760.9,,751.4,,754.8,,757.0,,756.7,,759.5,,750.2,,750.7,,753.8,,756.9,,749.6,,756.8,,757.3,,760.1,,757.5,,761.0,,755.6,,755.5,,755.5,,753.8,,757.1,,752.0,,757.8,,747.6,,754.0,,755.7,,758.5,,754.7,,754.9,,751.9,,750.7,,748.4,,751.1,,748.3,,754.2,,757.1,,762.2,,758.7,
coal,林口#2,800.0,761.1,,760.8,,764.2,,763.6,,759.6,,762.5,,757.2,,760.2,,761.8,,760.8,,759.1,,760.3,,757.0,,754.8,,759.3,,763.1,,760.4,,759.5,,757.0,,753.7,,762.6,,752.6,,759.1,,762.0,,759.9,,762.7,,759.5,,758.7,,753.7,,761.6,,753.6,,757.6,,759.7,,760.0,,760.4,,753.3,,752.2,,756.5,,758.2,,754.0,,758.6,,758.7,,760.9,,758.1,,763.1,,758.0,,758.0,,760.5,,756.3,,758.7,,753.1,,761.6,,752.1,,759.8,,760.0,,762.8,,762.6,,760.8,,760.9,,758.7,,755.7,,757.4,,754.2,,759.2,,756.4,,762.3,,758.8,
coal,林口#3,800.0,760.1,,761.4,,763.9,,763.8,,759.0,,760.0,,756.9,,760.9,,764.5,,763.0,,759.8,,761.4,,758.3,,753.2,,759.4,,764.3,,762.5,,759.5,,757.5,,753.7,,764.4,,754.6,,759.5,,764.4,,758.6,,764.0,,760.6,,759.8,,755.6,,763.6,,753.4,,757.9,,758.7,,759.8,,763.2,,752.6,,753.6,,756.1,,760.8,,751.2,,760.0,,759.0,,763.2,,758.8,,764.8,,758.1,,758.8,,761.8,,758.3,,759.4,,752.6,,762.2,,752.7,,758.7,,760.3,,761.0,,756.2,,757.0,,757.1,,758.0,,755.8,,759.4,,755.0,,759.8,,759.6,,764.7,,759.4,
coal,台中#1,550.0,339.1,,336.3,,340.8,,335.3,,335.9,,338.4,,334.1,,336.9,,335.4,,334.5,,339.1,,341.4,,339.9,,333.6,,339.1,,348.0,,338.4,,337.6,,336.0,,342.7,,339.7,,340.6,,341.6,,344.7,,332.9,,339.9,,336.7,,342.4,,337.3,,337.4,,339.7,,359.6,,375.8,,381.9,,378.3,,370.3,,369.3,,374.0,,375.8,,383.6,,373.7,,375.0,,380.3,,381.0,,382.0,,382.6,,388.5,,392.6,,389.4,,392.6,,388.7,,392.6,,388.5,,388.7,,388.7,,388.7,,389.5,,395.8,,393.5,,390.3,,390.1,,391.8,,388.5,,385.4,,391.7,,398.0,,389.4,
coal,台中#2,550.0,330.2,,326.4,,334.2,,328.8,,332.6,,332.5,,337.0,,330.4,,326.6,,334.4,,332.1,,324.9,,336.5,,330.3,,335.7,,339.0,,334.9,,333.9,,334.9,,329.8,,334.9,,337.1,,334.9,,335.9,,325.7,,328.0,,332.7,,331.8,,327.8,,336.6,,337.0,,353.1,,364.0,,370.0,,371.7,,375.4,,370.0,,367.8,,368.0,,376.1,,365.6,,369.9,,377.7,,375.4,,371.5,,378.1,,383.6,,389.0,,392.3,,391.6,,389.3,,387.0,,386.2,,390.8,,389.1,,387.0,,392.5,,401.2,,392.5,,392.4,,405.2,,434.2,,389.5,,375.8,,391.5,,380.6,,386.9,
