type,name,capacity,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20
nuclear,核二#1,985.0,835.2,燃料限制,832.5,燃料限制,833.8,燃料限制,832.5,燃料限制,832.5,燃料限制,831.1,燃料限制,833.8,燃料限制,832.5,燃料限制,835.2,燃料限制,835.2,燃料限制,833.8,燃料限制,835.2,燃料限制,832.5,燃料限制,833.8,燃料限制,832.5,燃料限制,833.8,燃料限制,832.5,燃料限制,832.5,燃料限制,835.2,燃料限制,832.5,燃料限制,833.8,燃料限制,833.8,燃料限制,832.5,燃料限制,831.1,燃料限制,835.2,燃料限制,833.8,燃料限制,833.8,燃料限制,832.5,燃料限制
nuclear,核二#2,985.0,926.3,運轉限制,927.7,運轉限制,926.3,運轉限制,923.6,運轉限制,926.3,運轉限制,926.3,運轉限制,926.3,運轉限制,925.0,運轉限制,925.0,運轉限制,927.7,運轉限制,926.3,運轉限制,925.0,運轉限制,923.6,運轉限制,925.0,運轉限制,923.6,運轉限制,926.3,運轉限制,925.0,運轉限制,922.3,運轉限制,927.7,運轉限制,923.6,運轉限制,923.6,運轉限制,923.6,運轉限制,922.3,運轉限制,922.3,運轉限制,926.3,運轉限制,922.3,運轉限制,925.0,運轉限制,923.6,運轉限制
nuclear,核三#1,951.0,946.1,,949.5,,948.3,,948.3,,951.8,,949.5,,950.6,,946.1,,947.2,,947.2,,944.9,,948.3,,942.6,,944.9,,946.1,,947.2,,947.2,,941.5,,943.8,,944.9,,943.8,,948.3,,943.8,,947.2,,943.8,,947.2,,944.9,,946.1,
nuclear,核三#2,951.0,938.1,,941.5,,941.5,,940.4,,943.8,,940.4,,942.6,,941.5,,941.5,,941.5,,940.4,,942.6,,938.1,,942.6,,940.4,,941.5,,941.5,,935.8,,941.5,,939.2,,938.1,,939.2,,938.1,,937.0,,938.1,,940.4,,938.1,,939.2,
nuclear,小計,3872.0(7.793%),3645.7(13.022%),,3651.2(13.185%),,3649.9(13.117%),,3644.8(13.288%),,3654.4(13.269%),,3647.3(13.419%),,3653.3(13.462%),,3645.1(13.546%),,3648.9(13.585%),,3651.6(13.656%),,3645.4(13.717%),,3651.1(13.724%),,3636.8(13.724%),,3646.3(13.892%),,3642.6(13.933%),,3648.8(13.996%),,3646.2(14.098%),,3632.1(14.037%),,3648.2(14.119%),,3640.2(14.189%),,3639.3(14.217%),,3644.9(14.202%),,3636.7(14.152%),,3637.6(14.329%),,3643.4(14.338%),,3643.7(14.367%),,3641.8(14.485%),,3641.4(14.494%),
coal,林口#1,800.0,751.7,,752.7,,755.8,,755.8,,762.0,,755.1,,758.2,,758.5,,754.5,,758.8,,751.9,,756.0,,760.3,,754.8,,752.4,,753.7,,759.6,,758.0,,753.2,,758.2,,760.1,,762.1,,757.3,,759.1,,749.0,,757.7,,750.4,,757.2,
coal,林口#2,800.0,756.7,,757.0,,757.1,,757.7,,757.5,,758.0,,756.9,,757.6,,757.9,,757.1,,757.1,,756.1,,757.4,,757.5,,757.2,,758.7,,758.2,,758.1,,758.5,,757.9,,756.5,,758.4,,757.2,,757.9,,756.1,,758.0,,757.3,,757.2,
coal,林口#3,800.0,755.0,,756.2,,760.6,,760.9,,763.5,,757.3,,760.7,,760.2,,759.0,,761.6,,752.0,,758.0,,763.2,,760.9,,763.0,,760.2,,764.0,,760.4,,755.6,,759.8,,762.9,,763.6,,760.3,,761.7,,752.3,,765.5,,750.4,,760.4,
coal,台中#1,550.0,427.0,,420.6,,423.4,,427.1,,412.1,,401.1,,407.3,,410.9,,408.8,,405.1,,401.1,,410.8,,410.1,,406.5,,408.6,,379.3,,370.0,,375.9,,382.1,,371.3,,381.4,,379.9,,374.3,,377.5,,371.7,,378.2,,370.3,,381.4,
coal,台中#2,550.0,427.6,,422.2,,421.3,,411.9,,400.8,,387.3,,398.9,,386.9,,391.9,,398.3,,384.9,,401.9,,383.1,,387.7,,376.5,,384.4,,374.3,,382.0,,368.6,,381.1,,384.4,,378.3,,374.2,,374.3,,362.2,,385.9,,368.8,,383.5,
coal,台中#3,550.0,414.5,,415.9,,417.1,,428.3,,415.9,,418.0,,418.1,,414.8,,416.4,,416.5,,418.6,,426.7,,416.3,,419.8,,408.3,,382.9,,379.7,,373.3,,383.6,,375.7,,385.2,,377.3,,377.9,,382.0,,372.5,,384.9,,370.1,,383.5,
coal,台中#4,550.0,417.4,,410.2,,415.6,,416.0,,420.6,,415.0,,418.1,,412.4,,422.1,,413.5,,419.9,,419.1,,413.2,,416.4,,402.3,,388.0,,371.1,,369.3,,369.0,,378.6,,374.7,,375.6,,372.2,,380.4,,365.0,,375.7,,373.7,,376.2,
coal,台中#5,550.0,437.2,,435.7,,437.1,,435.0,,438.0,,435.7,,440.5,,437.9,,434.9,,436.4,,438.1,,438.1,,435.0,,437.2,,423.5,,399.2,,383.8,,382.1,,386.6,,387.5,,384.4,,385.9,,385.1,,385.1,,388.0,,385.1,,386.6,,386.7,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,426.0,,422.7,,421.9,,427.6,,424.6,,426.0,,425.2,,422.1,,427.6,,426.3,,423.0,,424.7,,422.5,,422.2,,416.1,,393.7,,371.1,,370.2,,375.1,,372.9,,375.1,,376.5,,377.3,,374.2,,372.6,,378.3,,375.8,,373.5,
coal,台中#8,550.0,441.1,,441.1,,439.5,,443.4,,442.0,,442.0,,442.8,,440.2,,441.9,,439.6,,441.2,,440.5,,440.4,,441.2,,432.0,,409.1,,388.3,,383.5,,385.9,,388.1,,389.0,,389.8,,386.7,,387.3,,388.8,,388.1,,389.6,,389.8,
coal,台中#9,550.0,376.6,,375.3,,383.8,,412.4,,424.8,,423.9,,424.6,,424.3,,423.9,,425.2,,424.1,,424.5,,424.1,,423.4,,425.0,,402.5,,377.5,,375.7,,377.1,,376.7,,376.4,,377.5,,375.9,,377.1,,375.8,,376.6,,376.0,,376.6,
coal,台中#10,550.0,380.2,,378.6,,387.4,,429.0,,430.4,,427.6,,430.0,,428.3,,427.8,,430.6,,428.7,,428.0,,428.4,,427.6,,419.8,,380.6,,381.7,,379.7,,378.3,,379.7,,380.5,,381.5,,379.4,,380.7,,379.0,,380.0,,378.3,,380.4,
coal,興達#1(註12),500.0,477.8,,472.7,,475.9,,480.3,,475.2,,477.1,,476.5,,477.1,,475.9,,475.9,,479.0,,479.6,,476.5,,476.5,,480.3,,478.4,,472.7,,475.9,,484.1,,477.8,,477.8,,480.3,,474.6,,470.8,,480.3,,470.2,,474.6,,479.6,
coal,興達#2(註12),500.0,477.1,,473.3,,478.4,,476.5,,474.0,,476.5,,479.0,,474.0,,474.0,,475.2,,473.3,,474.6,,473.3,,472.7,,473.3,,472.7,,477.8,,476.5,,475.2,,474.6,,477.1,,477.8,,479.0,,472.1,,474.6,,477.1,,478.4,,472.7,
coal,興達#3(註12),550.0,513.7,,514.4,,519.8,,520.6,,516.8,,516.8,,517.5,,519.1,,522.9,,516.0,,512.9,,520.6,,525.2,,519.1,,522.9,,521.4,,519.1,,522.1,,518.3,,523.7,,526.8,,519.8,,516.8,,516.0,,517.5,,518.3,,519.8,,523.7,
coal,興達#4(註12),550.0,514.0,,520.9,,518.6,,514.0,,514.0,,511.7,,514.8,,512.5,,515.5,,512.5,,516.3,,513.2,,515.5,,514.8,,515.5,,515.5,,514.8,,516.3,,514.8,,519.4,,521.7,,511.7,,517.1,,526.3,,517.8,,510.9,,517.1,,518.6,
coal,大林#1,800.0,762.5,,758.6,,758.6,,758.6,,763.1,,758.6,,758.6,,755.5,,758.6,,760.1,,760.1,,758.6,,758.6,,758.6,,758.6,,758.6,,761.6,,755.5,,755.5,,757.0,,761.6,,760.1,,757.0,,760.1,,750.9,,761.6,,757.0,,761.0,
coal,大林#2,800.0,676.6,運轉限制,675.1,運轉限制,675.1,運轉限制,676.6,運轉限制,682.7,運轉限制,676.6,運轉限制,676.6,運轉限制,669.0,運轉限制,675.1,運轉限制,676.6,運轉限制,678.1,運轉限制,678.1,運轉限制,673.5,運轉限制,675.1,運轉限制,678.1,運轉限制,678.1,運轉限制,681.2,運轉限制,670.5,運轉限制,672.0,運轉限制,676.6,運轉限制,682.1,運轉限制,678.1,運轉限制,676.6,運轉限制,676.6,運轉限制,662.9,運轉限制,683.6,運轉限制,675.1,運轉限制,680.5,運轉限制
coal,小計,11600.0(23.347%),9432.7(33.692%),,9403.2(33.956%),,9447.0(33.950%),,9531.7(34.749%),,9518.0(34.560%),,9464.3(34.821%),,9504.3(35.023%),,9461.3(35.161%),,9488.7(35.326%),,9485.3(35.473%),,9460.3(35.598%),,9509.1(35.742%),,9476.6(35.760%),,9472.0(36.087%),,9413.4(36.006%),,9217.0(35.356%),,9106.5(35.210%),,9085.0(35.112%),,9093.5(35.192%),,9116.6(35.536%),,9157.7(35.774%),,9134.2(35.591%),,9098.9(35.408%),,9119.2(35.921%),,9037.0(35.564%),,9135.7(36.022%),,9069.3(36.073%),,9142.5(36.390%),
cogen,汽電共生,618.0,706.5,,670.3,,696.7,,927.7,,675.3,,668.7,,926.7,,684.4,,708.3,,693.3,,704.2,,746.8,,724.5,,701.4,,717.5,,710.0,,713.7,,733.3,,704.3,,697.5,,685.4,,713.6,,789.6,,702.2,,660.3,,745.0,,721.6,,700.7,
cogen,小計,618.0(1.244%),706.5(2.524%),,670.3(2.421%),,696.7(2.504%),,927.7(3.382%),,675.3(2.452%),,668.7(2.460%),,926.7(3.415%),,684.4(2.543%),,708.3(2.637%),,693.3(2.593%),,704.2(2.650%),,746.8(2.807%),,724.5(2.734%),,701.4(2.672%),,717.5(2.744%),,710.0(2.723%),,713.7(2.760%),,733.3(2.834%),,704.3(2.726%),,697.5(2.719%),,685.4(2.678%),,713.6(2.781%),,789.6(3.073%),,702.2(2.766%),,660.3(2.599%),,745.0(2.938%),,721.6(2.870%),,700.7(2.789%),
ippcoal,和平#1,648.6,461.2,,458.4,,456.6,,468.9,,463.3,,460.5,,462.2,,460.6,,461.1,,461.0,,461.5,,461.0,,459.8,,460.7,,461.3,,462.6,,460.7,,460.0,,460.4,,461.1,,461.4,,461.3,,460.4,,461.7,,460.4,,461.5,,473.0,,501.3,
ippcoal,和平#2,648.6,459.5,,462.1,,459.1,,460.0,,462.1,,459.0,,461.5,,460.7,,458.3,,460.6,,459.5,,459.9,,458.8,,459.7,,458.4,,459.2,,460.7,,458.2,,458.9,,459.6,,461.3,,460.0,,460.1,,463.3,,461.2,,462.9,,473.1,,495.1,
ippcoal,麥寮#1,600.0,569.3,,570.2,,568.5,,570.0,,570.7,,571.5,,569.9,,569.5,,567.1,,570.9,,571.2,,570.8,,568.4,,569.9,,568.3,,568.7,,570.3,,570.0,,569.6,,571.5,,569.6,,570.3,,569.6,,569.6,,569.9,,570.6,,570.0,,569.2,
ippcoal,麥寮#2,600.0,566.7,,568.0,,567.1,,569.3,,566.6,,568.1,,566.3,,566.3,,568.7,,568.3,,569.5,,569.1,,566.6,,567.3,,566.9,,569.4,,568.9,,568.8,,568.5,,565.8,,567.1,,568.6,,567.3,,568.1,,567.5,,569.8,,568.8,,566.4,
ippcoal,麥寮#3,600.0,574.3,,575.8,,572.7,,574.7,,575.4,,576.2,,574.2,,573.8,,574.0,,576.2,,574.6,,573.1,,575.3,,573.3,,575.4,,575.3,,573.9,,576.1,,573.9,,574.8,,574.7,,571.3,,571.9,,574.3,,573.8,,574.3,,575.1,,577.0,
ippcoal,小計,3097.1(6.234%),2631.0(9.398%),,2634.5(9.513%),,2624.0(9.430%),,2642.9(9.635%),,2638.1(9.579%),,2635.3(9.696%),,2634.1(9.706%),,2630.9(9.777%),,2629.2(9.788%),,2637.0(9.862%),,2636.3(9.920%),,2633.9(9.900%),,2628.9(9.920%),,2630.9(10.023%),,2630.3(10.061%),,2635.2(10.108%),,2634.5(10.186%),,2633.1(10.176%),,2631.3(10.183%),,2632.8(10.263%),,2634.1(10.290%),,2631.5(10.254%),,2629.3(10.232%),,2637.0(10.387%),,2632.8(10.361%),,2639.1(10.406%),,2660.0(10.580%),,2709.0(10.783%),
