type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50,generation-13:00,note-13:00,generation-13:10,note-13:10,generation-13:20,note-13:20,generation-13:30,note-13:30,generation-13:40,note-13:40,generation-13:50,note-13:50,generation-14:00,note-14:00,generation-14:10,note-14:10,generation-14:20,note-14:20,generation-14:30,note-14:30,generation-14:40,note-14:40,generation-14:50,note-14:50,generation-15:00,note-15:00,generation-15:10,note-15:10,generation-15:20,note-15:20
nuclear,核二#1,985.0,827.1,燃料限制,828.5,燃料限制,827.1,燃料限制,828.5,燃料限制,827.1,燃料限制,829.8,燃料限制,827.1,燃料限制,824.4,燃料限制,828.5,燃料限制,831.1,燃料限制,827.1,燃料限制,827.1,燃料限制,829.8,燃料限制,828.5,燃料限制,829.8,燃料限制,825.8,燃料限制,829.8,燃料限制,831.1,燃料限制,829.8,燃料限制,828.5,燃料限制,827.1,燃料限制,829.8,燃料限制,827.1,燃料限制,828.5,燃料限制,829.8,燃料限制,825.8,燃料限制,829.8,燃料限制,827.1,燃料限制,828.5,燃料限制,831.1,燃料限制,827.1,燃料限制,828.5,燃料限制,832.5,燃料限制,829.8,燃料限制,831.1,燃料限制,831.1,燃料限制,829.8,燃料限制,829.8,燃料限制,828.5,燃料限制,831.1,燃料限制,832.5,燃料限制,829.8,燃料限制,828.5,燃料限制,828.5,燃料限制,827.1,燃料限制,828.5,燃料限制,816.4,燃料限制,784.2,燃料限制,770.8,燃料限制,770.8,燃料限制,769.5,燃料限制,766.8,燃料限制,768.2,燃料限制,765.5,燃料限制,765.5,燃料限制,764.1,燃料限制,765.5,燃料限制,761.4,燃料限制,768.2,燃料限制,762.8,燃料限制,761.4,燃料限制,807.0,燃料限制,817.7,燃料限制,817.7,燃料限制,815.1,燃料限制,817.7,燃料限制,817.7,燃料限制,821.8,燃料限制,823.1,燃料限制,820.4,燃料限制,820.4,燃料限制,820.4,燃料限制,823.1,燃料限制,821.8,燃料限制,824.4,燃料限制,819.1,燃料限制,824.4,燃料限制,825.8,燃料限制,821.8,燃料限制,824.4,燃料限制,825.8,燃料限制,825.8,燃料限制,825.8,燃料限制,825.8,燃料限制,825.8,燃料限制,827.1,燃料限制,827.1,燃料限制,828.5,燃料限制,828.5,燃料限制,827.1,燃料限制,827.1,燃料限制,829.8,燃料限制,831.1,燃料限制
nuclear,核二#2,985.0,970.6,,971.9,,969.2,,974.6,,971.9,,973.2,,971.9,,969.2,,973.2,,974.6,,970.6,,970.6,,970.6,,971.9,,973.2,,970.6,,973.2,,974.6,,974.6,,974.6,,971.9,,971.9,,973.2,,974.6,,973.2,,973.2,,971.9,,971.9,,973.2,,973.2,,971.9,,973.2,,973.2,,974.6,,973.2,,975.9,,974.6,,973.2,,973.2,,971.9,,974.6,,973.2,,973.2,,973.2,,973.2,,971.9,,973.2,,971.9,,970.6,,975.9,,973.2,,974.6,,974.6,,971.9,,970.6,,970.6,,971.9,,969.2,,971.9,,969.2,,970.6,,967.9,,969.2,,969.2,,966.5,,969.2,,967.9,,971.9,,970.6,,969.2,,969.2,,967.9,,967.9,,969.2,,969.2,,966.5,,969.2,,966.5,,966.5,,969.2,,969.2,,970.6,,967.9,,969.2,,969.2,,967.9,,969.2,,971.9,,971.9,,970.6,,971.9,,971.9,,973.2,
nuclear,核三#1,951.0,950.6,,947.2,,950.6,,949.5,,948.3,,948.3,,950.6,,949.5,,948.3,,948.3,,950.6,,948.3,,947.2,,948.3,,950.6,,948.3,,950.6,,950.6,,951.8,,951.8,,949.5,,948.3,,949.5,,950.6,,948.3,,949.5,,949.5,,948.3,,949.5,,950.6,,949.5,,948.3,,948.3,,950.6,,948.3,,948.3,,949.5,,949.5,,947.2,,948.3,,950.6,,949.5,,950.6,,948.3,,947.2,,947.2,,947.2,,950.6,,948.3,,947.2,,949.5,,950.6,,949.5,,949.5,,949.5,,950.6,,949.5,,949.5,,949.5,,948.3,,948.3,,948.3,,949.5,,947.2,,947.2,,948.3,,947.2,,948.3,,947.2,,946.1,,946.1,,946.1,,947.2,,947.2,,946.1,,946.1,,946.1,,946.1,,944.9,,944.9,,947.2,,948.3,,946.1,,944.9,,944.9,,946.1,,944.9,,946.1,,946.1,,944.9,,946.1,,947.2,,943.8,
nuclear,核三#2,951.0,943.8,,941.5,,943.8,,943.8,,943.8,,942.6,,946.1,,943.8,,942.6,,943.8,,946.1,,942.6,,942.6,,941.5,,944.9,,942.6,,944.9,,946.1,,944.9,,946.1,,942.6,,942.6,,942.6,,944.9,,942.6,,943.8,,942.6,,941.5,,943.8,,943.8,,942.6,,942.6,,942.6,,943.8,,943.8,,943.8,,941.5,,943.8,,942.6,,942.6,,943.8,,942.6,,943.8,,941.5,,941.5,,940.4,,942.6,,943.8,,942.6,,941.5,,943.8,,942.6,,942.6,,941.5,,942.6,,944.9,,943.8,,943.8,,943.8,,942.6,,942.6,,941.5,,942.6,,941.5,,941.5,,942.6,,940.4,,943.8,,941.5,,940.4,,939.2,,939.2,,940.4,,941.5,,940.4,,940.4,,941.5,,940.4,,938.1,,939.2,,939.2,,941.5,,939.2,,940.4,,940.4,,940.4,,939.2,,941.5,,940.4,,940.4,,940.4,,940.4,,939.2,
nuclear,小計,3872.0(7.793%),3692.1(14.430%),,3689.1(14.547%),,3690.7(14.588%),,3696.4(14.721%),,3691.1(14.771%),,3693.9(14.907%),,3695.7(14.972%),,3686.9(14.997%),,3692.6(15.006%),,3697.8(15.295%),,3694.4(15.164%),,3688.6(15.413%),,3690.2(15.388%),,3690.2(15.370%),,3698.5(15.495%),,3687.3(15.445%),,3698.5(15.704%),,3702.4(15.746%),,3701.1(15.722%),,3701.0(15.836%),,3691.1(15.721%),,3692.6(15.728%),,3692.4(15.755%),,3698.6(15.973%),,3693.9(15.932%),,3692.3(16.002%),,3693.8(16.163%),,3688.8(16.030%),,3695.0(16.145%),,3698.7(16.174%),,3691.1(16.163%),,3692.6(16.174%),,3696.6(16.126%),,3698.8(16.273%),,3696.4(16.198%),,3699.1(16.411%),,3695.4(16.277%),,3696.3(16.255%),,3691.5(16.258%),,3693.9(16.245%),,3701.5(16.352%),,3695.1(16.179%),,3696.1(16.308%),,3691.5(16.110%),,3689.0(16.109%),,3688.0(15.929%),,3679.4(15.952%),,3650.5(15.877%),,3632.3(15.746%),,3635.4(15.596%),,3636.0(15.476%),,3634.6(15.352%),,3634.9(15.352%),,3628.4(15.171%),,3628.2(15.127%),,3630.2(15.042%),,3630.7(15.123%),,3623.9(14.901%),,3633.4(15.089%),,3622.9(14.913%),,3622.9(14.769%),,3664.7(14.849%),,3679.0(14.735%),,3675.6(14.713%),,3670.3(14.699%),,3677.8(14.749%),,3673.2(14.597%),,3685.8(14.570%),,3682.4(14.574%),,3676.1(14.548%),,3674.9(14.503%),,3673.6(14.420%),,3678.6(14.461%),,3679.7(14.529%),,3680.1(14.584%),,3672.1(14.425%),,3681.2(14.503%),,3678.8(14.485%),,3671.3(14.412%),,3677.7(14.454%),,3681.4(14.355%),,3686.2(14.459%),,3679.0(14.353%),,3680.3(14.428%),,3680.3(14.368%),,3681.5(14.453%),,3680.4(14.403%),,3688.0(14.498%),,3686.9(14.565%),,3683.0(14.517%),,3685.5(14.551%),,3689.3(14.335%),,3687.3(14.457%),
coal,林口#1,800.0,290.3,運轉限制,290.2,運轉限制,290.2,運轉限制,290.3,運轉限制,290.0,運轉限制,290.8,運轉限制,290.4,運轉限制,290.9,運轉限制,290.6,運轉限制,290.4,運轉限制,291.6,運轉限制,291.9,運轉限制,292.1,運轉限制,291.1,運轉限制,291.9,運轉限制,291.4,運轉限制,290.5,運轉限制,290.6,運轉限制,291.5,運轉限制,291.2,運轉限制,291.4,運轉限制,290.8,運轉限制,292.7,運轉限制,292.4,運轉限制,289.5,運轉限制,291.7,運轉限制,290.8,運轉限制,290.4,運轉限制,292.4,運轉限制,291.9,運轉限制,292.0,運轉限制,292.2,運轉限制,292.1,運轉限制,292.5,運轉限制,292.1,運轉限制,292.0,運轉限制,290.4,運轉限制,291.4,運轉限制,291.1,運轉限制,291.1,運轉限制,291.6,運轉限制,291.8,運轉限制,291.8,運轉限制,293.1,運轉限制,292.1,運轉限制,292.3,運轉限制,291.9,運轉限制,291.0,運轉限制,292.8,運轉限制,290.9,運轉限制,291.2,運轉限制,291.2,運轉限制,291.5,運轉限制,292.4,運轉限制,291.3,運轉限制,292.1,運轉限制,291.2,運轉限制,291.7,運轉限制,291.9,運轉限制,291.5,運轉限制,291.9,運轉限制,292.0,運轉限制,292.4,運轉限制,291.5,運轉限制,291.9,運轉限制,291.0,運轉限制,291.7,運轉限制,290.6,運轉限制,291.5,運轉限制,291.2,運轉限制,293.6,運轉限制,292.0,運轉限制,292.0,運轉限制,291.6,運轉限制,292.0,運轉限制,291.5,運轉限制,291.6,運轉限制,290.9,運轉限制,290.5,運轉限制,291.4,運轉限制,290.2,運轉限制,289.4,運轉限制,291.8,運轉限制,290.8,運轉限制,290.6,運轉限制,292.3,運轉限制,290.7,運轉限制,291.8,運轉限制,291.5,運轉限制,291.5,運轉限制,292.3,運轉限制,291.8,運轉限制,289.9,運轉限制
coal,林口#2,800.0,755.1,,762.6,,758.5,,754.5,,758.1,,757.3,,759.8,,763.5,,758.4,,752.1,,763.1,,758.0,,763.2,,756.4,,760.6,,761.5,,753.4,,753.2,,749.5,,754.1,,755.3,,757.8,,760.6,,755.9,,752.8,,761.1,,761.9,,761.8,,757.8,,759.4,,759.7,,758.2,,761.2,,759.6,,755.3,,752.3,,761.6,,759.0,,759.9,,761.0,,756.1,,761.5,,757.2,,758.5,,756.0,,762.5,,758.3,,757.2,,761.4,,758.9,,758.3,,760.5,,759.2,,759.7,,758.9,,759.0,,756.3,,754.4,,752.8,,753.3,,754.1,,757.5,,756.0,,757.5,,758.8,,749.4,,759.5,,752.9,,757.3,,754.4,,762.4,,761.7,,761.5,,751.5,,763.8,,764.3,,754.0,,759.9,,762.3,,755.3,,755.8,,755.7,,763.9,,756.3,,760.6,,762.8,,760.4,,755.4,,757.2,,760.0,,758.5,,763.1,,754.1,
coal,林口#3,800.0,756.4,,764.1,,758.7,,757.3,,759.9,,756.7,,760.9,,763.8,,759.1,,754.4,,762.7,,758.7,,764.0,,755.1,,760.5,,762.5,,754.0,,753.3,,753.3,,753.4,,755.0,,755.2,,759.8,,753.3,,754.3,,760.9,,764.7,,760.6,,759.1,,758.7,,759.2,,759.5,,761.2,,759.5,,755.6,,753.7,,764.8,,759.0,,760.8,,761.6,,756.4,,761.5,,759.1,,758.5,,754.7,,762.8,,758.2,,758.2,,760.3,,701.7,,659.6,,660.8,,679.0,,680.7,,679.1,,681.1,,672.1,,695.9,運轉限制,757.7,運轉限制,754.9,運轉限制,758.4,運轉限制,763.3,運轉限制,757.0,運轉限制,759.3,運轉限制,758.1,運轉限制,749.3,運轉限制,756.6,運轉限制,747.5,運轉限制,759.0,運轉限制,752.5,運轉限制,762.8,運轉限制,762.9,運轉限制,762.6,運轉限制,753.5,運轉限制,761.1,運轉限制,762.3,運轉限制,752.0,,754.8,,757.6,,748.9,,750.8,,747.8,,759.6,,753.7,,754.4,,760.1,,759.7,,756.0,,756.3,,759.2,,759.1,,763.7,,756.5,
coal,台中#1,550.0,379.2,,388.6,,381.5,,377.5,,379.2,,379.0,,385.1,,383.8,,383.9,,381.3,,372.5,,353.4,,328.1,,333.5,,342.2,,345.7,,340.8,,338.4,,339.9,,337.4,,333.6,,338.6,,339.4,,342.4,,333.8,,343.4,,344.2,,336.2,,337.8,,337.1,,337.0,,341.1,,337.1,,337.7,,338.7,,333.0,,346.3,,337.0,,358.5,,385.3,,381.2,,379.8,,378.3,,380.1,,379.3,,380.9,,362.5,,376.8,,363.9,,358.5,,378.2,,401.9,,425.6,,434.2,,427.4,,429.6,,426.5,,428.2,,425.0,,428.1,,429.5,,425.7,,405.9,,386.7,,383.6,,379.7,,387.3,,384.7,,391.2,,383.3,,378.1,,358.8,,331.2,,317.7,,341.2,,344.5,,339.6,,338.1,,339.9,,334.1,,337.4,,335.7,,340.8,,335.6,,333.3,,339.6,,337.9,,334.8,,339.8,,337.4,,337.6,,339.8,,344.4,
coal,台中#2,550.0,342.4,,369.7,,370.4,,368.1,,367.9,,375.8,,379.4,,379.4,,377.6,,381.3,,359.4,,338.6,,328.8,,319.8,,330.7,,330.1,,329.1,,318.2,,332.0,,337.0,,325.3,,331.7,,328.6,,326.1,,327.7,,331.6,,330.2,,330.2,,331.6,,319.9,,323.0,,326.0,,332.4,,328.6,,323.0,,332.3,,335.5,,339.8,,352.8,,384.3,,375.5,,373.6,,373.7,,378.5,,370.4,,371.2,,378.3,,372.7,,359.1,,359.8,,426.1,,424.6,,441.5,,436.3,,433.9,,433.8,,422.8,,429.2,,429.7,,424.9,,426.6,,418.0,,402.0,,391.8,,388.6,,377.6,,386.3,,382.1,,380.7,,379.8,,357.3,,331.3,,317.9,,321.5,,326.3,,334.3,,327.2,,330.2,,328.9,,330.9,,327.0,,329.2,,336.3,,329.5,,329.6,,333.7,,328.1,,330.6,,333.1,,332.1,,333.8,,333.8,,337.7,
coal,台中#3,550.0,339.7,運轉限制,335.9,運轉限制,338.2,運轉限制,337.4,運轉限制,333.2,運轉限制,334.1,運轉限制,335.6,運轉限制,338.0,運轉限制,331.9,運轉限制,335.7,運轉限制,337.3,運轉限制,336.5,運轉限制,339.8,運轉限制,338.9,運轉限制,329.4,運轉限制,337.3,運轉限制,334.9,運轉限制,337.3,運轉限制,332.5,運轉限制,336.2,運轉限制,334.0,運轉限制,339.7,運轉限制,337.4,運轉限制,335.7,運轉限制,335.5,運轉限制,334.8,運轉限制,342.8,運轉限制,337.3,運轉限制,339.6,運轉限制,337.3,運轉限制,340.5,運轉限制,338.9,運轉限制,336.6,運轉限制,334.8,運轉限制,342.0,運轉限制,339.6,運轉限制,338.2,運轉限制,338.6,運轉限制,334.7,運轉限制,340.3,運轉限制,334.8,運轉限制,337.0,運轉限制,349.3,運轉限制,364.8,運轉限制,371.9,運轉限制,370.7,運轉限制,371.1,運轉限制,367.1,運轉限制,354.2,運轉限制,371.1,運轉限制,364.2,運轉限制,372.1,運轉限制,364.1,運轉限制,367.5,運轉限制,368.3,運轉限制,369.8,運轉限制,365.0,運轉限制,335.7,運轉限制,358.4,運轉限制,361.0,運轉限制,364.8,運轉限制,362.5,運轉限制,366.4,運轉限制,368.0,運轉限制,369.5,運轉限制,360.1,運轉限制,371.3,運轉限制,367.9,運轉限制,369.8,運轉限制,361.7,運轉限制,375.1,運轉限制,366.4,運轉限制,365.7,運轉限制,371.0,運轉限制,363.9,運轉限制,374.2,運轉限制,370.2,運轉限制,368.8,運轉限制,372.8,運轉限制,371.1,運轉限制,366.0,運轉限制,366.4,運轉限制,368.8,運轉限制,352.8,運轉限制,371.8,運轉限制,369.5,運轉限制,367.9,運轉限制,371.7,運轉限制,369.5,運轉限制,376.7,運轉限制,387.7,運轉限制,389.5,運轉限制,391.9,運轉限制
coal,台中#4,550.0,378.2,,374.5,,371.8,,372.6,,371.8,,373.2,,375.0,,373.4,,375.1,,371.7,,372.5,,375.8,,376.0,,375.7,,371.1,,378.4,,372.5,,373.3,,369.9,,329.2,,316.6,,315.1,,323.0,,321.4,,322.9,,324.5,,326.2,,324.7,,326.1,,324.5,,321.4,,326.3,,323.1,,322.3,,325.9,,325.2,,327.7,,328.8,,329.8,,328.1,,326.2,,323.2,,340.8,,373.1,,377.2,,375.7,,373.2,,373.9,,366.6,,362.3,,374.6,,407.8,,416.3,,432.8,,416.9,,404.9,,401.4,,396.2,,404.5,,396.9,,402.3,,397.7,,375.0,,375.6,,374.0,,370.0,,377.9,,375.1,,378.5,,372.1,,386.3,,346.0,,310.9,,319.9,,327.0,,337.1,,334.8,,333.9,,333.4,,326.5,,369.5,,377.9,,382.1,,372.5,,377.2,,373.6,,373.4,,374.1,,372.4,,369.2,,371.9,,345.2,,328.0,
coal,台中#5,550.0,386.5,,386.5,,384.8,,388.1,,384.8,,388.9,,385.9,,387.4,,384.2,,384.1,,385.7,,388.9,,385.9,,387.2,,387.3,,385.0,,383.9,,384.8,,375.8,,358.0,,332.3,,326.9,,330.1,,332.5,,336.2,,333.1,,330.8,,333.2,,333.1,,333.1,,334.0,,333.2,,332.4,,333.1,,333.1,,332.2,,333.8,,332.9,,334.9,,332.3,,332.9,,335.5,,332.4,,343.2,,376.5,,387.5,,385.1,,384.4,,379.8,,380.4,,384.6,,402.4,,431.3,,432.2,,421.8,,407.9,,409.1,,408.5,,406.2,,406.2,,406.1,,411.0,,394.0,,380.0,,381.4,,381.3,,381.0,,382.3,,383.3,,377.0,,355.5,,347.7,,351.5,,352.2,,353.2,,354.6,,349.2,,353.0,,351.5,,359.1,,380.6,,382.3,,381.8,,380.5,,379.8,,383.9,,384.5,,384.6,,368.5,,351.8,,366.5,,346.6,,344.7,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,377.5,,377.5,,378.8,,378.0,,378.3,,377.5,,378.4,,378.3,,376.0,,377.3,,376.9,,374.3,,379.5,,376.0,,376.9,,379.3,,379.1,,373.6,,378.4,,379.1,,358.4,,329.1,,328.3,,333.9,,329.2,,327.6,,330.9,,329.9,,335.2,,331.2,,330.6,,331.6,,330.2,,330.8,,329.2,,330.0,,328.3,,326.8,,329.2,,330.8,,331.5,,330.9,,329.4,,332.5,,354.2,,375.9,,376.4,,376.3,,374.2,,374.9,,374.2,,372.0,,369.9,,372.4,,372.5,,385.0,,411.4,,425.0,,422.3,,424.4,,423.7,,424.7,,423.2,,419.7,,423.8,,416.1,,399.6,,371.5,,367.7,,371.3,,372.2,,359.6,,321.4,,319.7,,321.4,,324.4,,323.6,,322.7,,324.5,,323.3,,323.3,,324.0,,323.5,,322.7,,324.9,,324.2,,326.3,,321.1,,324.5,,321.6,,326.1,,325.3,,324.1,
coal,台中#8,550.0,391.7,,391.1,,389.5,,393.4,,391.8,,388.6,,389.4,,390.3,,386.9,,389.2,,390.9,,393.3,,387.2,,390.1,,387.7,,389.4,,391.6,,391.6,,388.6,,387.7,,378.5,,350.6,,345.3,,342.1,,338.9,,338.3,,343.1,,342.2,,342.9,,343.6,,345.4,,343.1,,339.8,,343.8,,342.3,,343.8,,342.2,,346.2,,345.5,,341.6,,341.6,,343.9,,343.9,,343.2,,374.5,,394.6,,400.0,,397.8,,394.6,,395.9,,393.6,,391.2,,392.7,,394.5,,393.6,,408.3,,429.6,,442.2,,446.0,,446.2,,439.1,,440.9,,443.1,,441.0,,441.0,,428.5,,401.7,,386.7,,386.0,,386.7,,390.0,,377.6,,345.9,,339.5,,336.5,,340.3,,337.9,,340.1,,341.2,,341.1,,339.3,,339.3,,340.0,,339.8,,338.4,,340.1,,337.7,,341.0,,341.8,,340.1,,340.9,,337.9,,339.6,
